"Synthesizable","Material ID","Formula","Crystal System","Space Group Symbol","Space Group Number","Sites","Energy Above Hull","Formation Energy","Predicted Stable","Volume","Density","Band Gap","Is Gap Direct","Is Metal","Magnetic Ordering","Total Magnetization","Structure"
"True","mp-1043670","Zn(Ni2O3)2","Orthorhombic","Cmcm","63","22","0.07689346318182001","-1.148950850454545","False","211.73853274489133","6.2139913631983354","0.0","False","True","FM","12.0003732","# generated using pymatgen
data_Zn(Ni2O3)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.09046752
_cell_length_b   5.09046752
_cell_length_c   14.89922000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   146.74064449
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Zn(Ni2O3)2
_chemical_formula_sum   'Zn2 Ni8 O12'
_cell_volume   211.73853274
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zn  Zn0  1  0.34343000  0.65657000  0.75000000  1
  Zn  Zn1  1  0.65657000  0.34343000  0.25000000  1
  Ni  Ni2  1  0.13635800  0.86364200  0.04457300  1
  Ni  Ni3  1  0.59552400  0.40447600  0.63478400  1
  Ni  Ni4  1  0.86364200  0.13635800  0.95542700  1
  Ni  Ni5  1  0.40447600  0.59552400  0.36521600  1
  Ni  Ni6  1  0.13635800  0.86364200  0.45542700  1
  Ni  Ni7  1  0.86364200  0.13635800  0.54457300  1
  Ni  Ni8  1  0.40447600  0.59552400  0.13478400  1
  Ni  Ni9  1  0.59552400  0.40447600  0.86521600  1
  O  O10  1  0.50000000  0.50000000  0.50000000  1
  O  O11  1  0.50000000  0.50000000  0.00000000  1
  O  O12  1  0.95374800  0.04625200  0.83952500  1
  O  O13  1  0.04625200  0.95374800  0.16047500  1
  O  O14  1  0.04625200  0.95374800  0.33952500  1
  O  O15  1  0.95374800  0.04625200  0.66047500  1
  O  O16  1  0.22156800  0.77843200  0.92389000  1
  O  O17  1  0.77843200  0.22156800  0.07611000  1
  O  O18  1  0.77843200  0.22156800  0.42389000  1
  O  O19  1  0.22156800  0.77843200  0.57611000  1
  O  O20  1  0.69718200  0.30281800  0.75000000  1
  O  O21  1  0.30281800  0.69718200  0.25000000  1
"
"True","mp-1215795","Zn(Ni2O5)2","Monoclinic","C2/m","12","15","0.227985512444449","-0.671799814666667","False","154.57715059092436","4.943429342007979","0.0","False","True","FiM","2.0040011","# generated using pymatgen
data_Zn(Ni2O5)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.83733779
_cell_length_b   10.88280111
_cell_length_c   5.23260563
_cell_angle_alpha   96.18182558
_cell_angle_beta   74.30737968
_cell_angle_gamma   90.02710429
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Zn(Ni2O5)2
_chemical_formula_sum   'Zn1 Ni4 O10'
_cell_volume   154.57715059
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zn  Zn0  1  0.40000000  0.80000000  0.20000000  1
  Ni  Ni1  1  0.00459200  0.00741500  0.99054000  1
  Ni  Ni2  1  0.60118300  0.20233500  0.79763700  1
  Ni  Ni3  1  0.19881700  0.39766500  0.60236300  1
  Ni  Ni4  1  0.79540800  0.59258500  0.40946000  1
  O  O5  1  0.98292200  0.18147100  0.03463500  1
  O  O6  1  0.58055800  0.37641600  0.83921100  1
  O  O7  1  0.17637800  0.57138900  0.64770700  1
  O  O8  1  0.77230000  0.76464900  0.45766600  1
  O  O9  1  0.38651000  0.98899100  0.22703300  1
  O  O10  1  0.21944200  0.22358400  0.56078900  1
  O  O11  1  0.81707800  0.41852900  0.36536500  1
  O  O12  1  0.41349000  0.61100900  0.17296700  1
  O  O13  1  0.02770000  0.83535100  0.94233400  1
  O  O14  1  0.62362200  0.02861100  0.75229300  1
"
"True","mp-1040979","Zn(NiO2)2","Triclinic","P1","1","42","0.030190923095238003","-1.200087112619047","False","432.6244820954948","5.683590721829489","0.0","False","True","FM","12.0000959","# generated using pymatgen
data_Zn(NiO2)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.86648800
_cell_length_b   5.87357957
_cell_length_c   14.38393634
_cell_angle_alpha   88.85557797
_cell_angle_beta   89.16525442
_cell_angle_gamma   60.81655462
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Zn(NiO2)2
_chemical_formula_sum   'Zn6 Ni12 O24'
_cell_volume   432.62448210
_cell_formula_units_Z   6
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zn  Zn0  1  0.15904000  0.17560600  0.04444700  1
  Zn  Zn1  1  0.50073000  0.49922900  0.37862700  1
  Zn  Zn2  1  0.50319500  0.49897600  0.99894000  1
  Zn  Zn3  1  0.81917900  0.84920500  0.70938800  1
  Zn  Zn4  1  0.16310900  0.16519200  0.28845400  1
  Zn  Zn5  1  0.50982100  0.49456700  0.62415600  1
  Ni  Ni6  1  0.16577300  0.66634300  0.16682100  1
  Ni  Ni7  1  0.66476900  0.66710700  0.16695400  1
  Ni  Ni8  1  0.50182800  0.99575900  0.50143000  1
  Ni  Ni9  1  0.66522000  0.16554500  0.16803100  1
  Ni  Ni10  1  0.83146400  0.83038700  0.33542100  1
  Ni  Ni11  1  0.00391300  0.99550300  0.50006700  1
  Ni  Ni12  1  0.83481400  0.33775500  0.83200500  1
  Ni  Ni13  1  0.00335300  0.49724700  0.50020400  1
  Ni  Ni14  1  0.33152300  0.83514700  0.83282400  1
  Ni  Ni15  1  0.16392300  0.17494200  0.66583000  1
  Ni  Ni16  1  0.33024900  0.33689000  0.83203900  1
  Ni  Ni17  1  0.84250400  0.82118600  0.95489500  1
  O  O18  1  0.34863600  0.34548400  0.09624200  1
  O  O19  1  0.50578900  0.51122100  0.24165200  1
  O  O20  1  0.34552200  0.81030800  0.09122100  1
  O  O21  1  0.80198500  0.35139500  0.09496600  1
  O  O22  1  0.53271700  0.97915000  0.24371000  1
  O  O23  1  0.66468200  0.69521500  0.42735600  1
  O  O24  1  0.97935300  0.53242700  0.24321500  1
  O  O25  1  0.82531300  0.82038100  0.08986400  1
  O  O26  1  0.68995200  0.13328000  0.42607500  1
  O  O27  1  0.85363000  0.82339700  0.57254400  1
  O  O28  1  0.98178000  0.98042000  0.24002500  1
  O  O29  1  0.13589600  0.66245500  0.42032000  1
  O  O30  1  0.87631500  0.32678300  0.58153200  1
  O  O31  1  0.99723600  0.04454600  0.75220500  1
  O  O32  1  0.31451700  0.85899800  0.57613400  1
  O  O33  1  0.15244900  0.17075700  0.42732000  1
  O  O34  1  0.14796500  0.17734300  0.90545300  1
  O  O35  1  0.00198600  0.48338100  0.75764400  1
  O  O36  1  0.33679400  0.29696200  0.57853300  1
  O  O37  1  0.45111500  0.04330300  0.75048200  1
  O  O38  1  0.19540300  0.63218300  0.90949600  1
  O  O39  1  0.52039400  0.49317500  0.76179300  1
  O  O40  1  0.66949500  0.18570300  0.90449800  1
  O  O41  1  0.67667000  0.63515000  0.90718500  1
"
"True","mp-1041154","Zn(NiO2)2","Trigonal","P3m1","156","42","0.054913809285714","-1.17536422642857","False","436.355433207549","5.634994560282478","0.0","False","True","FiM","13.9975872","# generated using pymatgen
data_Zn(NiO2)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.89278208
_cell_length_b   5.89278208
_cell_length_c   14.51005300
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.00000087
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Zn(NiO2)2
_chemical_formula_sum   'Zn6 Ni12 O24'
_cell_volume   436.35543321
_cell_formula_units_Z   6
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zn  Zn0  1  0.66666700  0.33333300  0.95360300  1
  Zn  Zn1  1  0.33333300  0.66666700  0.62001500  1
  Zn  Zn2  1  0.00000000  0.00000000  0.66658000  1
  Zn  Zn3  1  0.00000000  0.00000000  0.28858300  1
  Zn  Zn4  1  0.33333300  0.66666700  0.00133300  1
  Zn  Zn5  1  0.33333300  0.66666700  0.37635200  1
  Ni  Ni6  1  0.16738200  0.33476400  0.83389700  1
  Ni  Ni7  1  0.66523600  0.83261800  0.83389700  1
  Ni  Ni8  1  0.83331700  0.66663500  0.49854800  1
  Ni  Ni9  1  0.16738200  0.83261800  0.83389700  1
  Ni  Ni10  1  0.33336500  0.16668300  0.49854800  1
  Ni  Ni11  1  0.66666700  0.33333300  0.33367700  1
  Ni  Ni12  1  0.66666700  0.33333300  0.71357500  1
  Ni  Ni13  1  0.50107400  0.00214700  0.16734000  1
  Ni  Ni14  1  0.83331700  0.16668300  0.49854800  1
  Ni  Ni15  1  0.99785300  0.49892600  0.16734000  1
  Ni  Ni16  1  0.50107400  0.49892600  0.16734000  1
  Ni  Ni17  1  0.00000000  0.00000000  0.04436400  1
  O  O18  1  0.48542400  0.97084800  0.90644600  1
  O  O19  1  0.33333300  0.66666700  0.75439500  1
  O  O20  1  0.02915200  0.51457600  0.90644600  1
  O  O21  1  0.48542400  0.51457600  0.90644600  1
  O  O22  1  0.15326700  0.30653400  0.57150000  1
  O  O23  1  0.84632200  0.15367800  0.76198000  1
  O  O24  1  0.00000000  0.00000000  0.42442900  1
  O  O25  1  0.30735600  0.15367800  0.76198000  1
  O  O26  1  0.00000000  0.00000000  0.91604300  1
  O  O27  1  0.69346600  0.84673300  0.57150000  1
  O  O28  1  0.15326700  0.84673300  0.57150000  1
  O  O29  1  0.84632200  0.69264400  0.76198000  1
  O  O30  1  0.81679700  0.63359300  0.24694500  1
  O  O31  1  0.51699700  0.48300300  0.42312500  1
  O  O32  1  0.96600500  0.48300300  0.42312500  1
  O  O33  1  0.66666700  0.33333300  0.09182900  1
  O  O34  1  0.66666700  0.33333300  0.57616200  1
  O  O35  1  0.36640700  0.18320300  0.24694500  1
  O  O36  1  0.81679700  0.18320300  0.24694500  1
  O  O37  1  0.51699700  0.03399500  0.42312500  1
  O  O38  1  0.17368300  0.82631700  0.09115500  1
  O  O39  1  0.65263400  0.82631700  0.09115500  1
  O  O40  1  0.33333300  0.66666700  0.23937200  1
  O  O41  1  0.17368300  0.34736600  0.09115500  1
"
"True","mp-1041962","Zn(NiO2)2","Orthorhombic","Imma","74","14","0.13662196642857102","-1.093656069285714","False","146.0089190598946","5.61349381555152","0.0","False","True","FiM","4.0","# generated using pymatgen
data_Zn(NiO2)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.89471193
_cell_length_b   5.89471193
_cell_length_c   5.89471193
_cell_angle_alpha   119.63201956
_cell_angle_beta   119.27380549
_cell_angle_gamma   90.95049971
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Zn(NiO2)2
_chemical_formula_sum   'Zn2 Ni4 O8'
_cell_volume   146.00891906
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zn  Zn0  1  0.50000000  0.00000000  0.00000000  1
  Zn  Zn1  1  0.50000000  0.50000000  0.50000000  1
  Ni  Ni2  1  0.88124800  0.13124800  0.75000000  1
  Ni  Ni3  1  0.11875200  0.86875200  0.25000000  1
  Ni  Ni4  1  0.50000000  0.50000000  0.00000000  1
  Ni  Ni5  1  0.00000000  0.50000000  0.50000000  1
  O  O6  1  0.72915300  0.73615100  0.99300200  1
  O  O7  1  0.24799100  0.73609000  0.98809900  1
  O  O8  1  0.24314800  0.73615100  0.50699800  1
  O  O9  1  0.24799100  0.25989200  0.51190100  1
  O  O10  1  0.75200900  0.74010800  0.48809900  1
  O  O11  1  0.75200900  0.26391000  0.01190100  1
  O  O12  1  0.75685200  0.26384900  0.49300200  1
  O  O13  1  0.27084700  0.26384900  0.00699800  1
"
"True","mp-1047462","Zn(NiO2)2","Tetragonal","I4_1/a","88","14","0.0","-1.230278035714286","True","136.95985793503903","5.984382406024633","0.0","False","True","FM","4.0","# generated using pymatgen
data_Zn(NiO2)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.75848835
_cell_length_b   5.75846068
_cell_length_c   5.75849165
_cell_angle_alpha   119.01985767
_cell_angle_beta   119.02083559
_cell_angle_gamma   91.70301720
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Zn(NiO2)2
_chemical_formula_sum   'Zn2 Ni4 O8'
_cell_volume   136.95985794
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zn  Zn0  1  0.75000201  0.25001919  0.50000443  1
  Zn  Zn1  1  -0.00000201  0.99998081  -0.00000443  1
  Ni  Ni2  1  0.87500000  0.62500000  0.25000000  1
  Ni  Ni3  1  0.37500000  0.62500000  0.75000000  1
  Ni  Ni4  1  0.37500000  0.12500000  0.75000000  1
  Ni  Ni5  1  0.37500000  0.62500000  0.25000000  1
  O  O6  1  0.13373919  0.88199897  0.29523820  1
  O  O7  1  0.11798062  0.41321891  0.25174266  1
  O  O8  1  0.16146788  0.86623633  0.74823898  1
  O  O9  1  0.16323099  0.41151281  0.79524906  1
  O  O10  1  0.58853212  0.38376367  0.75176102  1
  O  O11  1  0.63201938  0.83678109  0.24825734  1
  O  O12  1  0.58676901  0.83848719  0.70475094  1
  O  O13  1  0.61626081  0.36800103  0.20476180  1
"
"True","mp-1047707","Zn(NiO2)2","Orthorhombic","Cmcm","63","14","0.120696107857143","-1.109581927857142","False","132.02426941921303","6.208102250924512","0.0","False","True","FiM","4.0016266","# generated using pymatgen
data_Zn(NiO2)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.90275700
_cell_length_b   4.99979862
_cell_length_c   9.50618100
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   106.87515655
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Zn(NiO2)2
_chemical_formula_sum   'Zn2 Ni4 O8'
_cell_volume   132.02426942
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zn  Zn0  1  0.39135600  0.78271000  0.75000000  1
  Zn  Zn1  1  0.60864400  0.21729000  0.25000000  1
  Ni  Ni2  1  0.86701400  0.73403000  0.06889800  1
  Ni  Ni3  1  0.13298600  0.26597000  0.93110200  1
  Ni  Ni4  1  0.86701400  0.73403000  0.43110200  1
  Ni  Ni5  1  0.13298600  0.26597000  0.56889800  1
  O  O6  1  0.22653100  0.45306300  0.38709800  1
  O  O7  1  0.77346900  0.54693700  0.61290200  1
  O  O8  1  0.77346900  0.54693700  0.88709800  1
  O  O9  1  0.22653100  0.45306300  0.11290200  1
  O  O10  1  0.95904400  0.91808900  0.25000000  1
  O  O11  1  0.04095600  0.08191100  0.75000000  1
  O  O12  1  0.50000000  0.00000000  0.00000000  1
  O  O13  1  0.50000000  0.00000000  0.50000000  1
"
"True","mp-1048547","Zn(NiO2)2","Tetragonal","I4_1/amd","141","14","0.005636350714286","-1.224641685","False","137.4426286069097","5.963362113090987","0.13720000000000002","False","False","FM","3.9999995","# generated using pymatgen
data_Zn(NiO2)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.62862077
_cell_length_b   5.88821498
_cell_length_c   5.62875115
_cell_angle_alpha   61.43564079
_cell_angle_beta   90.00562176
_cell_angle_gamma   118.56359498
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Zn(NiO2)2
_chemical_formula_sum   'Zn2 Ni4 O8'
_cell_volume   137.44262861
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zn  Zn0  1  0.62518179  0.75000783  0.62516923  1
  Zn  Zn1  1  0.37481754  0.24999250  0.37483161  1
  Ni  Ni2  1  0.49999816  0.00000302  0.00000345  1
  Ni  Ni3  1  -0.00000820  -0.00000181  0.00000161  1
  Ni  Ni4  1  -0.00001043  0.50000144  0.50000016  1
  Ni  Ni5  1  -0.00000810  0.49999948  0.00000613  1
  O  O6  1  0.78769393  0.52462132  0.23767851  1
  O  O7  1  0.23766841  0.97534867  0.78765844  1
  O  O8  1  0.23761009  0.97516560  0.23700313  1
  O  O9  1  0.21232239  0.47538018  0.76232046  1
  O  O10  1  0.76304281  0.47516227  0.76238345  1
  O  O11  1  0.76233570  0.02464965  0.21233660  1
  O  O12  1  0.23696367  0.52483417  0.23761788  1
  O  O13  1  0.76239324  0.02483570  0.76298934  1
"
"True","mp-1048912","Zn(NiO2)2","Trigonal","R3m","160","14","0.10145846357142901","-1.128819572142857","False","144.7237889981313","5.66334097408591","0.0","False","True","FM","6.0000075","# generated using pymatgen
data_Zn(NiO2)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.90552904
_cell_length_b   5.90552904
_cell_length_c   5.90552971
_cell_angle_alpha   59.72493662
_cell_angle_beta   59.72493662
_cell_angle_gamma   59.72494408
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Zn(NiO2)2
_chemical_formula_sum   'Zn2 Ni4 O8'
_cell_volume   144.72378900
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zn  Zn0  1  0.00400300  0.00400300  0.00400300  1
  Zn  Zn1  1  0.62438900  0.62438900  0.62438900  1
  Ni  Ni2  1  0.24691000  0.24691000  0.24691000  1
  Ni  Ni3  1  0.62747400  0.12053000  0.62747400  1
  Ni  Ni4  1  0.62747400  0.62747400  0.12053000  1
  Ni  Ni5  1  0.12053000  0.62747400  0.62747400  1
  O  O6  1  0.84998700  0.37462700  0.37462700  1
  O  O7  1  0.37462700  0.37462700  0.84998700  1
  O  O8  1  0.37462700  0.84998700  0.37462700  1
  O  O9  1  0.37519200  0.37519200  0.37519200  1
  O  O10  1  0.87033500  0.87033500  0.87033500  1
  O  O11  1  0.87082800  0.41279800  0.87082800  1
  O  O12  1  0.87082800  0.87082800  0.41279800  1
  O  O13  1  0.41279800  0.87082800  0.87082800  1
"
"True","mp-1333466","Zn(NiO2)2","Monoclinic","Cm","8","42","0.152127288095238","-1.078150747619047","False","431.61457410131186","5.696889400905818","0.0","False","True","FM","20.0657601","# generated using pymatgen
data_Zn(NiO2)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.88516352
_cell_length_b   5.88187845
_cell_length_c   17.57691382
_cell_angle_alpha   59.90601108
_cell_angle_beta   60.52383363
_cell_angle_gamma   60.00482207
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Zn(NiO2)2
_chemical_formula_sum   'Zn6 Ni12 O24'
_cell_volume   431.61457410
_cell_formula_units_Z   6
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zn  Zn0  1  0.13957000  0.11829600  0.04129000  1
  Zn  Zn1  1  0.50049800  0.50202600  0.33185100  1
  Zn  Zn2  1  0.99973800  0.50016400  0.16654800  1
  Zn  Zn3  1  0.49938900  0.49809100  0.66807700  1
  Zn  Zn4  1  0.99986200  0.50017700  0.49993600  1
  Zn  Zn5  1  0.99919200  0.49994300  0.83367400  1
  Ni  Ni6  1  0.50269600  0.00414700  0.16492600  1
  Ni  Ni7  1  0.12913400  0.11926400  0.37743600  1
  Ni  Ni8  1  0.49918100  0.49959400  0.00058000  1
  Ni  Ni9  1  0.50276600  0.49828800  0.16489800  1
  Ni  Ni10  1  0.49987100  0.99987000  0.50006700  1
  Ni  Ni11  1  0.13101900  0.12042100  0.70926400  1
  Ni  Ni12  1  0.49989200  0.50004800  0.50005900  1
  Ni  Ni13  1  0.49788600  0.99609500  0.83481100  1
  Ni  Ni14  1  0.86994600  0.88045400  0.28971200  1
  Ni  Ni15  1  0.49781600  0.50175500  0.83484700  1
  Ni  Ni16  1  0.86992300  0.87978900  0.62350900  1
  Ni  Ni17  1  0.86231200  0.88143900  0.95815300  1
  O  O18  1  0.28193300  0.25665400  0.08497900  1
  O  O19  1  0.28189600  0.24739000  0.24106000  1
  O  O20  1  0.28215400  0.70603400  0.08478700  1
  O  O21  1  0.73003100  0.25432400  0.08713400  1
  O  O22  1  0.26779000  0.24653900  0.42313300  1
  O  O23  1  0.26362200  0.75847600  0.23964200  1
  O  O24  1  0.27083100  0.24502600  0.57971800  1
  O  O25  1  0.73081400  0.27990100  0.24325100  1
  O  O26  1  0.26764300  0.71632200  0.42307100  1
  O  O27  1  0.71799200  0.75062700  0.09363500  1
  O  O28  1  0.72382600  0.24771200  0.42689000  1
  O  O29  1  0.73093400  0.75961500  0.24316900  1
  O  O30  1  0.26814300  0.24096300  0.75531400  1
  O  O31  1  0.27616500  0.75245900  0.57295700  1
  O  O32  1  0.73216100  0.28316000  0.57704000  1
  O  O33  1  0.26808100  0.72487500  0.75523200  1
  O  O34  1  0.28059900  0.25376700  0.90397400  1
  O  O35  1  0.72742000  0.75491400  0.42091300  1
  O  O36  1  0.74673600  0.24164400  0.75662900  1
  O  O37  1  0.73202900  0.75373600  0.57700600  1
  O  O38  1  0.26967400  0.74214400  0.91577900  1
  O  O39  1  0.71556400  0.28891100  0.91726500  1
  O  O40  1  0.71798200  0.75009900  0.76069700  1
  O  O41  1  0.71528700  0.74484300  0.91709000  1
"
