"Synthesizable","Material ID","Formula","Crystal System","Space Group Symbol","Space Group Number","Sites","Energy Above Hull","Formation Energy","Predicted Stable","Volume","Density","Band Gap","Is Gap Direct","Is Metal","Magnetic Ordering","Total Magnetization","Structure"
"True","mp-1341677","Nb2(CoO3)3","Trigonal","P3c1","158","28","0.12783175698979202","-2.0344399925","False","326.2200651114252","5.157503866575709","0.0","False","True","FiM","10.0298137","# generated using pymatgen
data_Nb2(CoO3)3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.12713958
_cell_length_b   5.12713958
_cell_length_c   14.32945700
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   119.99999454
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Nb2(CoO3)3
_chemical_formula_sum   'Nb4 Co6 O18'
_cell_volume   326.22006511
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Nb  Nb0  1  0.00000000  0.00000000  0.85741700  1
  Nb  Nb1  1  0.00000000  0.00000000  0.14385100  1
  Nb  Nb2  1  0.00000000  0.00000000  0.64385100  1
  Nb  Nb3  1  0.00000000  0.00000000  0.35741700  1
  Co  Co4  1  0.66666700  0.33333300  0.67763600  1
  Co  Co5  1  0.66666700  0.33333300  0.98340400  1
  Co  Co6  1  0.66666700  0.33333300  0.48340400  1
  Co  Co7  1  0.33333300  0.66666700  0.50408600  1
  Co  Co8  1  0.33333300  0.66666700  0.00408600  1
  Co  Co9  1  0.66666700  0.33333300  0.17763600  1
  O  O10  1  0.36782000  0.33823100  0.08883800  1
  O  O11  1  0.67559400  0.68587300  0.92394700  1
  O  O12  1  0.92785400  0.24687100  0.24384600  1
  O  O13  1  0.31901800  0.07214600  0.24384600  1
  O  O14  1  0.97041100  0.63218000  0.08883800  1
  O  O15  1  0.66176900  0.63218000  0.58883800  1
  O  O16  1  0.75312900  0.07214600  0.74384600  1
  O  O17  1  0.01028000  0.32440600  0.92394700  1
  O  O18  1  0.01028000  0.68587300  0.42394700  1
  O  O19  1  0.36782000  0.02958900  0.58883800  1
  O  O20  1  0.31901800  0.24687100  0.74384600  1
  O  O21  1  0.97041100  0.33823100  0.58883800  1
  O  O22  1  0.75312900  0.68098200  0.24384600  1
  O  O23  1  0.31412700  0.98972000  0.92394700  1
  O  O24  1  0.66176900  0.02958900  0.08883800  1
  O  O25  1  0.67559400  0.98972000  0.42394700  1
  O  O26  1  0.31412700  0.32440600  0.42394700  1
  O  O27  1  0.92785400  0.68098200  0.74384600  1
"
"True","mp-1332980","Nb2Co2O9","Hexagonal","P6_3/mcm","193","26","0.247283067527471","-1.881488692692308","False","293.6769605981776","5.062567723747647","0.0","False","True","FM","3.9970734","# generated using pymatgen
data_Nb2Co2O9
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.88043998
_cell_length_b   4.88043998
_cell_length_c   14.23709200
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   119.99999975
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Nb2Co2O9
_chemical_formula_sum   'Nb4 Co4 O18'
_cell_volume   293.67696060
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Nb  Nb0  1  0.00000000  0.00000000  0.65931200  1
  Nb  Nb1  1  0.00000000  0.00000000  0.15931200  1
  Nb  Nb2  1  0.00000000  0.00000000  0.84068800  1
  Nb  Nb3  1  0.00000000  0.00000000  0.34068800  1
  Co  Co4  1  0.33333300  0.66666700  0.00000000  1
  Co  Co5  1  0.33333300  0.66666700  0.50000000  1
  Co  Co6  1  0.66666700  0.33333300  0.00000000  1
  Co  Co7  1  0.66666700  0.33333300  0.50000000  1
  O  O8  1  0.64768900  0.64768900  0.57429500  1
  O  O9  1  0.00000000  0.70150600  0.75000000  1
  O  O10  1  0.64768900  0.00000000  0.42570500  1
  O  O11  1  0.35231100  0.35231100  0.42570500  1
  O  O12  1  0.00000000  0.35231100  0.57429500  1
  O  O13  1  0.70150600  0.70150600  0.25000000  1
  O  O14  1  0.00000000  0.35231100  0.92570500  1
  O  O15  1  0.35231100  0.00000000  0.57429500  1
  O  O16  1  0.35231100  0.35231100  0.07429500  1
  O  O17  1  0.00000000  0.64768900  0.42570500  1
  O  O18  1  0.64768900  0.64768900  0.92570500  1
  O  O19  1  0.64768900  0.00000000  0.07429500  1
  O  O20  1  0.70150600  0.00000000  0.75000000  1
  O  O21  1  0.29849400  0.29849400  0.75000000  1
  O  O22  1  0.29849400  0.00000000  0.25000000  1
  O  O23  1  0.00000000  0.64768900  0.07429500  1
  O  O24  1  0.00000000  0.29849400  0.25000000  1
  O  O25  1  0.35231100  0.00000000  0.92570500  1
"
"True","mp-1232651","Nb2Co4O9","Trigonal","P3c1","158","30","0.013138870333346","-2.096687681666667","False","337.62130325495764","5.563046449656422","2.062799999999999","False","False","AFM","0.0201211","# generated using pymatgen
data_Nb2Co4O9
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.20814220
_cell_length_b   5.22316856
_cell_length_c   14.32829825
_cell_angle_alpha   90.06184382
_cell_angle_beta   90.01908383
_cell_angle_gamma   60.02011402
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Nb2Co4O9
_chemical_formula_sum   'Nb4 Co8 O18'
_cell_volume   337.62130325
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Nb  Nb0  1  0.00050000  0.99948300  0.14294600  1
  Nb  Nb1  1  0.99980800  0.00121200  0.35902700  1
  Nb  Nb2  1  0.00095700  0.99867500  0.85867200  1
  Nb  Nb3  1  0.99951300  0.00134700  0.64276300  1
  Co  Co4  1  0.33257000  0.33352200  0.30508200  1
  Co  Co5  1  0.33305500  0.33456800  0.80580500  1
  Co  Co6  1  0.33337600  0.33341200  0.51371200  1
  Co  Co7  1  0.33586800  0.33200700  0.01129900  1
  Co  Co8  1  0.67196500  0.66487700  0.18929400  1
  Co  Co9  1  0.67370900  0.66301200  0.68922400  1
  Co  Co10  1  0.66446300  0.66756900  0.98787500  1
  Co  Co11  1  0.66763500  0.66774000  0.48680400  1
  O  O12  1  0.28955800  0.99736400  0.25069400  1
  O  O13  1  0.70855400  0.29151700  0.25035000  1
  O  O14  1  0.99760700  0.71124000  0.25049100  1
  O  O15  1  0.70903400  0.99990700  0.75063200  1
  O  O16  1  0.29043000  0.71232600  0.75015900  1
  O  O17  1  0.99721600  0.29122700  0.75058500  1
  O  O18  1  0.34351900  0.67804700  0.08432400  1
  O  O19  1  0.97790900  0.34349200  0.08423300  1
  O  O20  1  0.67694600  0.97931000  0.08443400  1
  O  O21  1  0.02169100  0.32284700  0.41675800  1
  O  O22  1  0.65631100  0.02037100  0.41644300  1
  O  O23  1  0.32101300  0.65618600  0.41675700  1
  O  O24  1  0.65544600  0.32260400  0.91604900  1
  O  O25  1  0.02215500  0.65546100  0.91663200  1
  O  O26  1  0.32282500  0.02008600  0.91651400  1
  O  O27  1  0.97592000  0.67815800  0.58470400  1
  O  O28  1  0.34191900  0.97897900  0.58407600  1
  O  O29  1  0.67852800  0.34345300  0.58366000  1
"
"True","mp-1275198","Nb2Co4O9","Trigonal","P-3","147","30","0.013713832666679","-2.096112719333334","False","337.8356775309161","5.559516407881427","1.8285","False","False","AFM","0.0046787","# generated using pymatgen
data_Nb2Co4O9
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.21538870
_cell_length_b   5.22624763
_cell_length_c   14.31858748
_cell_angle_alpha   89.95136189
_cell_angle_beta   89.64674681
_cell_angle_gamma   59.95610690
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Nb2Co4O9
_chemical_formula_sum   'Nb4 Co8 O18'
_cell_volume   337.83567753
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Nb  Nb0  1  0.99679100  0.00106900  0.64159400  1
  Nb  Nb1  1  0.00346200  0.00118200  0.85751700  1
  Nb  Nb2  1  0.00236600  0.99724300  0.35877900  1
  Nb  Nb3  1  0.99803000  0.00242600  0.14295100  1
  Co  Co4  1  0.33486500  0.33466200  0.01537100  1
  Co  Co5  1  0.66921500  0.66639800  0.98490300  1
  Co  Co6  1  0.66631400  0.66749800  0.69445300  1
  Co  Co7  1  0.33126500  0.33415400  0.30545100  1
  Co  Co8  1  0.66629600  0.66840100  0.48778700  1
  Co  Co9  1  0.33256200  0.33286800  0.51404500  1
  Co  Co10  1  0.32876100  0.33608300  0.81039300  1
  Co  Co11  1  0.66305600  0.66345000  0.18845300  1
  O  O12  1  0.71127700  0.29104300  0.25046000  1
  O  O13  1  0.99686400  0.71103300  0.24947600  1
  O  O14  1  0.29069000  0.99921600  0.25013200  1
  O  O15  1  0.28838000  0.70936100  0.74945300  1
  O  O16  1  0.00145800  0.28769100  0.74940500  1
  O  O17  1  0.70516800  0.00260000  0.75055400  1
  O  O18  1  0.34284400  0.97759000  0.58367700  1
  O  O19  1  0.67807100  0.34310000  0.58329100  1
  O  O20  1  0.97711300  0.67825100  0.58414400  1
  O  O21  1  0.32201900  0.02136100  0.91706200  1
  O  O22  1  0.02556400  0.65369200  0.91504600  1
  O  O23  1  0.65930000  0.32197900  0.91592700  1
  O  O24  1  0.65816900  0.01972000  0.41650900  1
  O  O25  1  0.32359300  0.65513400  0.41602000  1
  O  O26  1  0.02198500  0.32124500  0.41588800  1
  O  O27  1  0.67961900  0.97978100  0.08351400  1
  O  O28  1  0.97871100  0.34323300  0.08344600  1
  O  O29  1  0.34619200  0.67853700  0.08429900  1
"
"True","mp-1276507","Nb2Co4O9","Trigonal","P3","143","30","0.013479990333346","-2.096346561666666","False","337.78154897398093","5.560407304975509","1.8793000000000002","False","False","AFM","0.002803","# generated using pymatgen
data_Nb2Co4O9
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.21472082
_cell_length_b   5.22288338
_cell_length_c   14.31262784
_cell_angle_alpha   90.08050155
_cell_angle_beta   90.06389233
_cell_angle_gamma   60.05604724
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Nb2Co4O9
_chemical_formula_sum   'Nb4 Co8 O18'
_cell_volume   337.78154897
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Nb  Nb0  1  0.00093300  0.00006900  0.64284900  1
  Nb  Nb1  1  0.00094000  0.99828600  0.85894900  1
  Nb  Nb2  1  0.99893500  0.00051300  0.35850600  1
  Nb  Nb3  1  0.00013800  0.00021300  0.14139100  1
  Co  Co4  1  0.33352100  0.33333400  0.51344300  1
  Co  Co5  1  0.66637900  0.66641800  0.98604500  1
  Co  Co6  1  0.33350500  0.33416400  0.80561400  1
  Co  Co7  1  0.66651800  0.66654500  0.19517300  1
  Co  Co8  1  0.66842000  0.66514200  0.48717000  1
  Co  Co9  1  0.33604800  0.33204600  0.01218500  1
  Co  Co10  1  0.67251900  0.66314000  0.68894700  1
  Co  Co11  1  0.33326900  0.33376600  0.30459600  1
  O  O12  1  0.71028200  0.28978400  0.25010900  1
  O  O13  1  0.99993000  0.71021500  0.25025500  1
  O  O14  1  0.29006200  0.00029400  0.25018500  1
  O  O15  1  0.29003900  0.71291600  0.75056700  1
  O  O16  1  0.99737300  0.29159200  0.75049400  1
  O  O17  1  0.70857900  0.99983300  0.75030200  1
  O  O18  1  0.34329500  0.97774400  0.58368400  1
  O  O19  1  0.67848300  0.34368100  0.58425600  1
  O  O20  1  0.97831000  0.67747300  0.58462300  1
  O  O21  1  0.32096600  0.02218200  0.91666800  1
  O  O22  1  0.02239700  0.65608000  0.91694300  1
  O  O23  1  0.65517900  0.32186400  0.91600700  1
  O  O24  1  0.65578300  0.02092800  0.41614600  1
  O  O25  1  0.32102500  0.65677100  0.41617200  1
  O  O26  1  0.01913000  0.32312800  0.41654200  1
  O  O27  1  0.67645000  0.98023800  0.08407000  1
  O  O28  1  0.97816000  0.34415000  0.08397200  1
  O  O29  1  0.34343000  0.67749300  0.08413700  1
"
"True","mp-1291928","Nb2Co4O9","Monoclinic","Cc","9","30","0.014835177666679002","-2.094991374333333","False","337.6551953759204","5.562488059186572","1.8495","False","False","FM","24.001251","# generated using pymatgen
data_Nb2Co4O9
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.21339782
_cell_length_b   5.22538277
_cell_length_c   14.30369990
_cell_angle_alpha   90.38363271
_cell_angle_beta   89.75719055
_cell_angle_gamma   60.06447382
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Nb2Co4O9
_chemical_formula_sum   'Nb4 Co8 O18'
_cell_volume   337.65519538
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Nb  Nb0  1  0.99520300  0.00789500  0.64227200  1
  Nb  Nb1  1  0.00482800  0.99528000  0.85897000  1
  Nb  Nb2  1  0.00032500  0.99616300  0.35837000  1
  Nb  Nb3  1  0.99872200  0.00254200  0.14162100  1
  Co  Co4  1  0.33563300  0.33160900  0.01364200  1
  Co  Co5  1  0.32859000  0.33461900  0.51064700  1
  Co  Co6  1  0.66732800  0.66729800  0.98781800  1
  Co  Co7  1  0.33425400  0.33458000  0.80417500  1
  Co  Co8  1  0.66407000  0.67040500  0.48876400  1
  Co  Co9  1  0.67164400  0.66486400  0.69148900  1
  Co  Co10  1  0.33056900  0.33445400  0.30485300  1
  Co  Co11  1  0.66701800  0.66519700  0.19435700  1
  O  O12  1  0.70919800  0.28964700  0.25045500  1
  O  O13  1  0.99942700  0.71074500  0.24975900  1
  O  O14  1  0.28926900  0.99957400  0.24974400  1
  O  O15  1  0.29459100  0.70867500  0.74924100  1
  O  O16  1  0.99892900  0.28914300  0.75104600  1
  O  O17  1  0.71233700  0.99880500  0.75038600  1
  O  O18  1  0.34061000  0.98471300  0.58450800  1
  O  O19  1  0.67685700  0.34460300  0.58251700  1
  O  O20  1  0.97691600  0.67853900  0.58549300  1
  O  O21  1  0.32252100  0.02060200  0.91700700  1
  O  O22  1  0.02158200  0.65547900  0.91606500  1
  O  O23  1  0.65797900  0.31971400  0.91666400  1
  O  O24  1  0.65711800  0.01806500  0.41672800  1
  O  O25  1  0.32230100  0.65717300  0.41600300  1
  O  O26  1  0.02184600  0.32241200  0.41487700  1
  O  O27  1  0.67796800  0.97619300  0.08450400  1
  O  O28  1  0.97955600  0.34318200  0.08417700  1
  O  O29  1  0.34281200  0.67783200  0.08384800  1
"
"True","mp-2767230","Nb2Co4O9","Triclinic","P-1","2","30","0.053553983000004","-1.864066694249999","False","321.43508149988355","5.843179853414807","0.6518","False","False","FiM","15.9916687","# generated using pymatgen
data_Nb2Co4O9
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.05736772
_cell_length_b   5.15644438
_cell_length_c   14.26065704
_cell_angle_alpha   92.68749824
_cell_angle_beta   90.27741056
_cell_angle_gamma   59.93774338
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Nb2Co4O9
_chemical_formula_sum   'Nb4 Co8 O18'
_cell_volume   321.43508150
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Nb  Nb0  1  0.99094364  0.02469396  0.64230897  1
  Nb  Nb1  1  0.01649821  0.97626102  0.85523765  1
  Nb  Nb2  1  0.00785244  0.97408554  0.35767674  1
  Nb  Nb3  1  0.98414070  0.02563836  0.14479611  1
  Co  Co4  1  0.33882534  0.33873688  0.01380679  1
  Co  Co5  1  0.66230600  0.66270885  0.98611022  1
  Co  Co6  1  0.67788454  0.66784319  0.69265745  1
  Co  Co7  1  0.32202033  0.33184335  0.30750788  1
  Co  Co8  1  0.67196485  0.66290093  0.48576094  1
  Co  Co9  1  0.32701054  0.33548496  0.51430573  1
  Co  Co10  1  0.32928760  0.34409311  0.81983103  1
  Co  Co11  1  0.67098219  0.65620112  0.18008901  1
  O  O12  1  0.70630150  0.28488930  0.25329969  1
  O  O13  1  0.99040808  0.69685400  0.24789828  1
  O  O14  1  0.31126369  0.97812921  0.24876738  1
  O  O15  1  0.29364821  0.71522512  0.74678940  1
  O  O16  1  0.00963340  0.30306474  0.75196023  1
  O  O17  1  0.68874862  0.02180766  0.75138807  1
  O  O18  1  0.34066467  0.98689781  0.58056098  1
  O  O19  1  0.66918544  0.35582230  0.58232043  1
  O  O20  1  0.97201186  0.68222511  0.58591578  1
  O  O21  1  0.31894394  0.01672652  0.92294122  1
  O  O22  1  0.01999737  0.64521892  0.91556481  1
  O  O23  1  0.64209490  0.33040424  0.91042385  1
  O  O24  1  0.65869232  0.01162915  0.41955659  1
  O  O25  1  0.32982706  0.64282554  0.41767026  1
  O  O26  1  0.02716866  0.31647198  0.41411548  1
  O  O27  1  0.68215754  0.98430542  0.07707470  1
  O  O28  1  0.98088472  0.35598459  0.08417169  1
  O  O29  1  0.35865066  0.67102814  0.08949464  1
"
"True","mp-2767524","Nb2Co4O9","Triclinic","P1","1","30","0.036764583333335","-1.880856093916666","False","323.2555102737739","5.810273708281616","0.8233","False","False","FiM","19.9993925","# generated using pymatgen
data_Nb2Co4O9
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.12398163
_cell_length_b   5.11253278
_cell_length_c   14.19652479
_cell_angle_alpha   89.99934236
_cell_angle_beta   90.86098500
_cell_angle_gamma   60.38098844
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Nb2Co4O9
_chemical_formula_sum   'Nb4 Co8 O18'
_cell_volume   323.25551027
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Nb  Nb0  1  0.00085082  -0.00270452  0.64200900  1
  Nb  Nb1  1  0.00306597  0.00288814  0.85829066  1
  Nb  Nb2  1  -0.01780254  0.00606495  0.35792595  1
  Nb  Nb3  1  0.01459381  0.00153757  0.14399273  1
  Co  Co4  1  0.32603460  0.33457069  0.51003925  1
  Co  Co5  1  0.67921121  0.66703047  0.98712050  1
  Co  Co6  1  0.34047831  0.33064918  0.80847815  1
  Co  Co7  1  0.66247594  0.66870064  0.18198160  1
  Co  Co8  1  0.65516122  0.67009018  0.48862107  1
  Co  Co9  1  0.34600550  0.32870651  0.01252131  1
  Co  Co10  1  0.66618821  0.66605513  0.69133749  1
  Co  Co11  1  0.32484023  0.34283018  0.30619473  1
  O  O12  1  0.69751619  0.30588425  0.24905613  1
  O  O13  1  0.97977654  0.70746198  0.24849141  1
  O  O14  1  0.28456116  0.00199670  0.25247971  1
  O  O15  1  0.29597122  0.70541345  0.75072977  1
  O  O16  1  0.00233044  0.29418833  0.75012323  1
  O  O17  1  0.70896578  0.99759295  0.75045198  1
  O  O18  1  0.34589196  0.98035872  0.58406742  1
  O  O19  1  0.66917350  0.34617462  0.58406795  1
  O  O20  1  0.97864072  0.67237319  0.58263167  1
  O  O21  1  0.33642204  0.01767570  0.91672369  1
  O  O22  1  0.03291195  0.65077942  0.91808919  1
  O  O23  1  0.66365506  0.32420647  0.91881096  1
  O  O24  1  0.64097177  0.02207902  0.41684936  1
  O  O25  1  0.31577852  0.65662824  0.41611316  1
  O  O26  1  0.00993345  0.32794542  0.41752012  1
  O  O27  1  0.67728890  0.97234280  0.08797687  1
  O  O28  1  0.99743448  0.33613377  0.07980777  1
  O  O29  1  0.36167103  0.66434888  0.08749619  1
"
"True","mp-31513","Nb2Co4O9","Trigonal","P-3c1","165","30","0.011862071666680001","-2.097964480333333","False","325.2684018085271","5.7743174005155655","0.0","False","True","FM","23.9986374","# generated using pymatgen
data_Nb2Co4O9
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.14304815
_cell_length_b   5.15723587
_cell_length_c   14.14779315
_cell_angle_alpha   90.51049800
_cell_angle_beta   90.01873046
_cell_angle_gamma   60.09319817
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Nb2Co4O9
_chemical_formula_sum   'Nb4 Co8 O18'
_cell_volume   325.26840181
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Nb  Nb0  1  0.99928889  0.00561417  0.64149842  1
  Nb  Nb1  1  0.00485040  0.99452911  0.85851563  1
  Nb  Nb2  1  -0.00013410  0.99577153  0.35849899  1
  Nb  Nb3  1  0.99618809  0.00416196  0.14145731  1
  Co  Co4  1  0.33443966  0.33306621  0.01498570  1
  Co  Co5  1  0.33159148  0.33471237  0.51492250  1
  Co  Co6  1  0.66657187  0.66539206  0.98507370  1
  Co  Co7  1  0.33549045  0.33555827  0.80773925  1
  Co  Co8  1  0.66721411  0.66684732  0.48501867  1
  Co  Co9  1  0.67084426  0.66465641  0.69228133  1
  Co  Co10  1  0.32919747  0.33545848  0.30765631  1
  Co  Co11  1  0.66473263  0.66429871  0.19233697  1
  O  O12  1  0.70317014  0.29302147  0.25044091  1
  O  O13  1  0.99626440  0.70676769  0.24949252  1
  O  O14  1  0.29053397  0.99990015  0.25003361  1
  O  O15  1  0.29703881  0.70687791  0.74942209  1
  O  O16  1  0.00386810  0.29330073  0.75060069  1
  O  O17  1  0.70962264  0.00010932  0.74999935  1
  O  O18  1  0.34729951  0.98015167  0.58265070  1
  O  O19  1  0.67476231  0.34806305  0.58266333  1
  O  O20  1  0.97818894  0.67564531  0.58390078  1
  O  O21  1  0.32762687  0.01996705  0.91731965  1
  O  O22  1  0.02297767  0.65209850  0.91738411  1
  O  O23  1  0.65387207  0.32456645  0.91609831  1
  O  O24  1  0.65161657  0.02121823  0.41725985  1
  O  O25  1  0.32448016  0.65290126  0.41727318  1
  O  O26  1  0.02066502  0.32560278  0.41611498  1
  O  O27  1  0.67315752  0.97864606  0.08278597  1
  O  O28  1  0.97785680  0.34684033  0.08265872  1
  O  O29  1  0.34672527  0.67425744  0.08391647  1
"
"True","mp-504552","Nb2CoO6","Orthorhombic","Pbcn","60","36","0.0","-2.668490155833343","True","403.98453665216084","5.602352969365906","1.7676","False","False","FM","4.0266572","# generated using pymatgen
data_Nb2CoO6
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.01916609
_cell_length_b   5.72237417
_cell_length_c   14.06555661
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Nb2CoO6
_chemical_formula_sum   'Nb8 Co4 O24'
_cell_volume   403.98453665
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Nb  Nb0  1  0.25291114  0.68148722  0.15800375  1
  Nb  Nb1  1  0.75291114  0.81851278  0.34199625  1
  Nb  Nb2  1  0.24708886  0.68148722  0.84199625  1
  Nb  Nb3  1  0.74708886  0.81851278  0.65800375  1
  Nb  Nb4  1  0.74708886  0.31851278  0.84199625  1
  Nb  Nb5  1  0.24708886  0.18148722  0.65800375  1
  Nb  Nb6  1  0.75291114  0.31851278  0.15800375  1
  Nb  Nb7  1  0.25291114  0.18148722  0.34199625  1
  Co  Co8  1  0.75000000  0.85516068  -0.00000000  1
  Co  Co9  1  0.25000000  0.64483932  0.50000000  1
  Co  Co10  1  0.25000000  0.14483932  -0.00000000  1
  Co  Co11  1  0.75000000  0.35516068  0.50000000  1
  O  O12  1  0.58037390  0.61307569  0.09284428  1
  O  O13  1  0.08037390  0.88692431  0.40715572  1
  O  O14  1  0.91962610  0.61307569  0.90715572  1
  O  O15  1  0.41962610  0.88692431  0.59284428  1
  O  O16  1  0.41962610  0.38692431  0.90715572  1
  O  O17  1  0.91962610  0.11307569  0.59284428  1
  O  O18  1  0.08037390  0.38692431  0.09284428  1
  O  O19  1  0.58037390  0.11307569  0.40715572  1
  O  O20  1  0.06925775  0.87775079  0.07537359  1
  O  O21  1  0.56925775  0.62224921  0.42462641  1
  O  O22  1  0.43074225  0.87775079  0.92462641  1
  O  O23  1  0.93074225  0.62224921  0.57537359  1
  O  O24  1  0.93074225  0.12224921  0.92462641  1
  O  O25  1  0.43074225  0.37775079  0.57537359  1
  O  O26  1  0.56925775  0.12224921  0.07537359  1
  O  O27  1  0.06925775  0.37775079  0.42462641  1
  O  O28  1  0.41846541  0.88333135  0.25540206  1
  O  O29  1  0.91846541  0.61666865  0.24459794  1
  O  O30  1  0.08153459  0.88333135  0.74459794  1
  O  O31  1  0.58153459  0.61666865  0.75540206  1
  O  O32  1  0.58153459  0.11666865  0.74459794  1
  O  O33  1  0.08153459  0.38333135  0.75540206  1
  O  O34  1  0.91846541  0.11666865  0.25540206  1
  O  O35  1  0.41846541  0.38333135  0.24459794  1
"
