"Synthesizable","Material ID","Formula","Crystal System","Space Group Symbol","Space Group Number","Sites","Energy Above Hull","Formation Energy","Predicted Stable","Volume","Density","Band Gap","Is Gap Direct","Is Metal","Magnetic Ordering","Total Magnetization","Structure"
"True","mp-1340467","Zn(Mo3O8)2","Trigonal","P3m1","156","23","0.23444577226708102","-1.7274393856521741","False","316.84906970981973","4.701194071182275","0.7584000000000001","False","False","FM","6.0000402","# generated using pymatgen
data_Zn(Mo3O8)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.18704736
_cell_length_b   6.18704736
_cell_length_c   9.55773300
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   119.99999312
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Zn(Mo3O8)2
_chemical_formula_sum   'Zn1 Mo6 O16'
_cell_volume   316.84906971
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zn  Zn0  1  0.00000000  0.00000000  0.28532000  1
  Mo  Mo1  1  0.50255000  0.00510000  0.07128200  1
  Mo  Mo2  1  0.66571500  0.83285800  0.57535300  1
  Mo  Mo3  1  0.50255000  0.49745000  0.07128200  1
  Mo  Mo4  1  0.16714200  0.83285800  0.57535300  1
  Mo  Mo5  1  0.16714200  0.33428500  0.57535300  1
  Mo  Mo6  1  0.99490000  0.49745000  0.07128200  1
  O  O7  1  0.33333300  0.66666700  0.46094400  1
  O  O8  1  0.33333300  0.66666700  0.96843800  1
  O  O9  1  0.00000000  0.00000000  0.68661400  1
  O  O10  1  0.66666700  0.33333300  0.18912000  1
  O  O11  1  0.86001300  0.72002600  0.45600900  1
  O  O12  1  0.81087900  0.18912100  0.96640400  1
  O  O13  1  0.37824200  0.18912100  0.96640400  1
  O  O14  1  0.27997400  0.13998700  0.45600900  1
  O  O15  1  0.86001300  0.13998700  0.45600900  1
  O  O16  1  0.81087900  0.62175800  0.96640400  1
  O  O17  1  0.17533900  0.82466100  0.17937400  1
  O  O18  1  0.03288200  0.51644100  0.67541200  1
  O  O19  1  0.48355900  0.96711800  0.67541200  1
  O  O20  1  0.48355900  0.51644100  0.67541200  1
  O  O21  1  0.64932100  0.82466100  0.17937400  1
  O  O22  1  0.17533900  0.35067900  0.17937400  1
"
"True","mp-1045325","Zn(Mo4O5)2","Tetragonal","I4_1/amd","141","38","0.40054592644736703","-1.224337929736842","False","536.9095772165357","6.141769495613655","0.024200000000000003","True","False","FiM","0.771209599999999","# generated using pymatgen
data_Zn(Mo4O5)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   13.70295462
_cell_length_b   13.70295462
_cell_length_c   13.70295462
_cell_angle_alpha   152.79369944
_cell_angle_beta   152.79369944
_cell_angle_gamma   38.85535652
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Zn(Mo4O5)2
_chemical_formula_sum   'Zn2 Mo16 O20'
_cell_volume   536.90957722
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zn  Zn0  1  0.25000000  0.75000000  0.50000000  1
  Zn  Zn1  1  0.50000000  0.50000000  0.00000000  1
  Mo  Mo2  1  0.79236000  0.54894200  0.75658200  1
  Mo  Mo3  1  0.29894200  0.04236000  0.25658200  1
  Mo  Mo4  1  0.78577800  0.04236000  0.74341800  1
  Mo  Mo5  1  0.79236000  0.03577800  0.24341800  1
  Mo  Mo6  1  0.95764000  0.70105800  0.74341800  1
  Mo  Mo7  1  0.45105800  0.20764000  0.24341800  1
  Mo  Mo8  1  0.96422200  0.20764000  0.75658200  1
  Mo  Mo9  1  0.95764000  0.21422200  0.25658200  1
  Mo  Mo10  1  0.12361300  0.39005700  0.26644400  1
  Mo  Mo11  1  0.14005700  0.37361300  0.76644400  1
  Mo  Mo12  1  0.60717000  0.37361300  0.23355600  1
  Mo  Mo13  1  0.12361300  0.85717000  0.73355600  1
  Mo  Mo14  1  0.62638700  0.39283000  0.76644400  1
  Mo  Mo15  1  0.14283000  0.87638700  0.26644400  1
  Mo  Mo16  1  0.60994300  0.87638700  0.73355600  1
  Mo  Mo17  1  0.62638700  0.85994300  0.23355600  1
  O  O18  1  0.37500000  0.62500000  0.25000000  1
  O  O19  1  0.20618400  0.97175400  0.76556900  1
  O  O20  1  0.04048200  0.82312600  0.78264400  1
  O  O21  1  0.57312600  0.29048200  0.28264400  1
  O  O22  1  0.00783800  0.29048200  0.71735600  1
  O  O23  1  0.04048200  0.25783800  0.21735600  1
  O  O24  1  0.70951800  0.42687400  0.71735600  1
  O  O25  1  0.17687400  0.95951800  0.21735600  1
  O  O26  1  0.74216200  0.95951800  0.78264400  1
  O  O27  1  0.70951800  0.99216200  0.28264400  1
  O  O28  1  0.72175400  0.45618400  0.26556900  1
  O  O29  1  0.55938500  0.79381600  0.76556900  1
  O  O30  1  0.02824600  0.79381600  0.23443100  1
  O  O31  1  0.54381600  0.27824600  0.73443100  1
  O  O32  1  0.20618400  0.44061500  0.23443100  1
  O  O33  1  0.19061500  0.45618400  0.73443100  1
  O  O34  1  0.37500000  0.12500000  0.75000000  1
  O  O35  1  0.87500000  0.62500000  0.25000000  1
  O  O36  1  0.37500000  0.62500000  0.75000000  1
  O  O37  1  0.54381600  0.80938500  0.26556900  1
"
"True","mp-29325","Zn(Mo4O5)2","Tetragonal","I4_1md","109","38","0.49914315960526207","-1.125740696578948","False","525.888615953107","6.27048154916779","0.0","False","True","FM","43.9998652","# generated using pymatgen
data_Zn(Mo4O5)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   13.58118784
_cell_length_b   13.58118784
_cell_length_c   13.58118784
_cell_angle_alpha   152.70426755
_cell_angle_beta   152.70426755
_cell_angle_gamma   38.98572013
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Zn(Mo4O5)2
_chemical_formula_sum   'Zn2 Mo16 O20'
_cell_volume   525.88861595
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zn  Zn0  1  0.87702100  0.37702100  0.50000000  1
  Zn  Zn1  1  0.12702100  0.12702100  0.00000000  1
  Mo  Mo2  1  0.59802600  0.82722800  0.77079800  1
  Mo  Mo3  1  0.57722800  0.84802600  0.27079800  1
  Mo  Mo4  1  0.57722800  0.30643000  0.72920200  1
  Mo  Mo5  1  0.05643000  0.82722800  0.22920200  1
  Mo  Mo6  1  0.41010000  0.66371900  0.74638200  1
  Mo  Mo7  1  0.41371900  0.66010000  0.24638200  1
  Mo  Mo8  1  0.41371900  0.16733700  0.75361800  1
  Mo  Mo9  1  0.91733700  0.66371900  0.25361800  1
  Mo  Mo10  1  0.76364200  0.99722600  0.76641600  1
  Mo  Mo11  1  0.74722600  0.01364200  0.26641600  1
  Mo  Mo12  1  0.74722600  0.48081000  0.73358400  1
  Mo  Mo13  1  0.23081000  0.99722600  0.23358400  1
  Mo  Mo14  1  0.76438700  0.49984100  0.26454600  1
  Mo  Mo15  1  0.24984100  0.01438700  0.76454600  1
  Mo  Mo16  1  0.24984100  0.48529400  0.23545400  1
  Mo  Mo17  1  0.23529400  0.49984100  0.73545400  1
  O  O18  1  0.49728800  0.24724300  0.25004500  1
  O  O19  1  0.18528300  0.41657900  0.76870300  1
  O  O20  1  0.37713500  0.58163000  0.79550600  1
  O  O21  1  0.33163000  0.62713500  0.29550600  1
  O  O22  1  0.33163000  0.03612400  0.70449400  1
  O  O23  1  0.78612400  0.58163000  0.20449400  1
  O  O24  1  0.63347400  0.91333000  0.72014400  1
  O  O25  1  0.66333000  0.88347400  0.22014400  1
  O  O26  1  0.66333000  0.44318600  0.77985600  1
  O  O27  1  0.19318600  0.91333000  0.27985600  1
  O  O28  1  0.16657900  0.43528300  0.26870300  1
  O  O29  1  0.83155400  0.58906300  0.75750900  1
  O  O30  1  0.83155400  0.07404600  0.24249100  1
  O  O31  1  0.82404600  0.08155400  0.74249100  1
  O  O32  1  0.64787600  0.41657900  0.23129700  1
  O  O33  1  0.16657900  0.89787600  0.73129700  1
  O  O34  1  0.99719800  0.24724300  0.74995500  1
  O  O35  1  0.99724300  0.24719800  0.24995500  1
  O  O36  1  0.99724300  0.74728800  0.75004500  1
  O  O37  1  0.33906300  0.08155400  0.25750900  1
"
"True","mp-1041065","Zn(MoO2)2","Monoclinic","Cm","8","42","0.05849625011904801","-1.752760403095237","False","541.9497576250508","5.906550672295312","1.092299999999999","False","False","FM","36.0012132","# generated using pymatgen
data_Zn(MoO2)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.38936582
_cell_length_b   6.38936582
_cell_length_c   15.43857532
_cell_angle_alpha   88.92447136
_cell_angle_beta   88.92447136
_cell_angle_gamma   59.32529861
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Zn(MoO2)2
_chemical_formula_sum   'Zn6 Mo12 O24'
_cell_volume   541.94975763
_cell_formula_units_Z   6
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zn  Zn0  1  0.66404200  0.66404200  0.95456000  1
  Zn  Zn1  1  0.99898300  0.99898300  0.62417000  1
  Zn  Zn2  1  0.99939100  0.99939100  0.99609300  1
  Zn  Zn3  1  0.33589100  0.33589100  0.29242500  1
  Zn  Zn4  1  0.66502100  0.66502100  0.70947900  1
  Zn  Zn5  1  0.00068100  0.00068100  0.37545000  1
  Mo  Mo6  1  0.16114500  0.66664900  0.83451500  1
  Mo  Mo7  1  0.66664900  0.16114500  0.83451500  1
  Mo  Mo8  1  0.50241700  0.99807400  0.50044200  1
  Mo  Mo9  1  0.16005200  0.16005200  0.83316000  1
  Mo  Mo10  1  0.33230900  0.33230900  0.66730100  1
  Mo  Mo11  1  0.99807400  0.50241700  0.50044200  1
  Mo  Mo12  1  0.83603100  0.33556600  0.16621000  1
  Mo  Mo13  1  0.50059000  0.50059000  0.50013800  1
  Mo  Mo14  1  0.83664100  0.83664100  0.16563600  1
  Mo  Mo15  1  0.66914200  0.66914200  0.33328000  1
  Mo  Mo16  1  0.33556600  0.83603100  0.16621000  1
  Mo  Mo17  1  0.33228000  0.33228000  0.04235800  1
  O  O18  1  0.31323300  0.83375600  0.91311100  1
  O  O19  1  0.99757500  0.99757500  0.75746900  1
  O  O20  1  0.84172100  0.84172100  0.91799500  1
  O  O21  1  0.83375600  0.31323300  0.91311100  1
  O  O22  1  0.49128700  0.01657800  0.75328000  1
  O  O23  1  0.64931500  0.17096800  0.58021000  1
  O  O24  1  0.48705300  0.48705300  0.75164700  1
  O  O25  1  0.32071500  0.32071500  0.90739700  1
  O  O26  1  0.17632100  0.17632100  0.58254600  1
  O  O27  1  0.33667700  0.33667700  0.42410000  1
  O  O28  1  0.01657800  0.49128700  0.75328000  1
  O  O29  1  0.17096800  0.64931500  0.58021000  1
  O  O30  1  0.83073500  0.35100700  0.41953400  1
  O  O31  1  0.98613600  0.50835700  0.24591600  1
  O  O32  1  0.82433500  0.82433500  0.41777600  1
  O  O33  1  0.66423700  0.66423700  0.57610400  1
  O  O34  1  0.67170500  0.67170500  0.09026000  1
  O  O35  1  0.51383200  0.51383200  0.24940300  1
  O  O36  1  0.35100700  0.83073500  0.41953400  1
  O  O37  1  0.50835700  0.98613600  0.24591600  1
  O  O38  1  0.17192200  0.68424700  0.09090000  1
  O  O39  1  0.99955800  0.99955800  0.24245900  1
  O  O40  1  0.14823600  0.14823600  0.07914900  1
  O  O41  1  0.68424700  0.17192200  0.09090000  1
"
"True","mp-1041272","Zn(MoO2)2","Triclinic","P1","1","42","0.09533358559523801","-1.715923067619048","False","543.0921927349801","5.894125800502135","1.0941","False","False","FM","36.0001216","# generated using pymatgen
data_Zn(MoO2)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.45084643
_cell_length_b   6.45074401
_cell_length_c   18.60280098
_cell_angle_alpha   59.99852428
_cell_angle_beta   60.45072186
_cell_angle_gamma   58.59123963
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Zn(MoO2)2
_chemical_formula_sum   'Zn6 Mo12 O24'
_cell_volume   543.09219273
_cell_formula_units_Z   6
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zn  Zn0  1  0.12408100  0.11966000  0.04558200  1
  Zn  Zn1  1  0.11189100  0.11822600  0.38005000  1
  Zn  Zn2  1  0.49719800  0.49732300  0.33583800  1
  Zn  Zn3  1  0.12634000  0.12871700  0.70845900  1
  Zn  Zn4  1  0.50114700  0.49859800  0.00384600  1
  Zn  Zn5  1  0.87282200  0.88014100  0.62197700  1
  Mo  Mo6  1  0.50085700  0.49264600  0.16787900  1
  Mo  Mo7  1  0.50352800  0.00184600  0.16517500  1
  Mo  Mo8  1  0.48745500  0.49799500  0.49939100  1
  Mo  Mo9  1  0.00550400  0.49566700  0.16630500  1
  Mo  Mo10  1  0.49017300  0.00590900  0.49776800  1
  Mo  Mo11  1  0.49924200  0.50474900  0.66616300  1
  Mo  Mo12  1  0.88699700  0.86671500  0.28750700  1
  Mo  Mo13  1  0.50727300  0.50305800  0.83468300  1
  Mo  Mo14  1  0.99508400  0.50066700  0.49789500  1
  Mo  Mo15  1  0.50714800  0.00281600  0.83357000  1
  Mo  Mo16  1  0.00530900  0.50307800  0.83402800  1
  Mo  Mo17  1  0.88592300  0.87442300  0.95551000  1
  O  O18  1  0.26511100  0.26501400  0.08118700  1
  O  O19  1  0.26460500  0.25710100  0.24268900  1
  O  O20  1  0.24678000  0.72648900  0.08881400  1
  O  O21  1  0.73151000  0.24490300  0.08836600  1
  O  O22  1  0.25040200  0.26604000  0.41436800  1
  O  O23  1  0.28344400  0.76172100  0.24120200  1
  O  O24  1  0.25370200  0.26095800  0.57523700  1
  O  O25  1  0.76771300  0.26981600  0.24320200  1
  O  O26  1  0.73121200  0.72870500  0.09207600  1
  O  O27  1  0.23611100  0.72746000  0.42010600  1
  O  O28  1  0.71918200  0.24574000  0.42134500  1
  O  O29  1  0.73039400  0.72516500  0.25412500  1
  O  O30  1  0.26442000  0.26548900  0.75015900  1
  O  O31  1  0.26675600  0.75170200  0.57928400  1
  O  O32  1  0.74287700  0.27539500  0.57973500  1
  O  O33  1  0.27031900  0.26395800  0.91008600  1
  O  O34  1  0.71839700  0.73396600  0.42459900  1
  O  O35  1  0.25247000  0.73160500  0.75540100  1
  O  O36  1  0.73132600  0.25358100  0.75505600  1
  O  O37  1  0.73334200  0.74092400  0.58257600  1
  O  O38  1  0.28388400  0.76693500  0.90906700  1
  O  O39  1  0.77271200  0.27547500  0.90972500  1
  O  O40  1  0.74162800  0.74153000  0.75777600  1
  O  O41  1  0.73373000  0.72809400  0.92219100  1
"
"True","mp-1041749","Zn(MoO2)2","Orthorhombic","Pbcm","57","28","0.14686870321428602","-1.6643879499999992","False","339.82566317138827","6.279795891766027","1.456799999999999","True","False","FM","23.9985255","# generated using pymatgen
data_Zn(MoO2)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.15853300
_cell_length_b   10.30181500
_cell_length_c   10.44376300
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Zn(MoO2)2
_chemical_formula_sum   'Zn4 Mo8 O16'
_cell_volume   339.82566317
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zn  Zn0  1  0.04667300  0.35352800  0.75000000  1
  Zn  Zn1  1  0.04667300  0.14647200  0.25000000  1
  Zn  Zn2  1  0.95332700  0.85352800  0.75000000  1
  Zn  Zn3  1  0.95332700  0.64647200  0.25000000  1
  Mo  Mo4  1  0.69969200  0.11773400  0.92698600  1
  Mo  Mo5  1  0.69969200  0.38226600  0.42698600  1
  Mo  Mo6  1  0.30030800  0.88226600  0.42698600  1
  Mo  Mo7  1  0.69969200  0.38226600  0.07301400  1
  Mo  Mo8  1  0.30030800  0.88226600  0.07301400  1
  Mo  Mo9  1  0.69969200  0.11773400  0.57301400  1
  Mo  Mo10  1  0.30030800  0.61773400  0.57301400  1
  Mo  Mo11  1  0.30030800  0.61773400  0.92698600  1
  O  O12  1  0.19903800  0.98113300  0.61207300  1
  O  O13  1  0.80096200  0.01886700  0.38792700  1
  O  O14  1  0.19410600  0.25000000  0.50000000  1
  O  O15  1  0.80096200  0.48113300  0.61207300  1
  O  O16  1  0.80096200  0.48113300  0.88792700  1
  O  O17  1  0.57584400  0.27471900  0.25000000  1
  O  O18  1  0.19903800  0.51886700  0.38792700  1
  O  O19  1  0.42415600  0.77471900  0.25000000  1
  O  O20  1  0.19410600  0.25000000  0.00000000  1
  O  O21  1  0.80589400  0.75000000  0.50000000  1
  O  O22  1  0.19903800  0.98113300  0.88792700  1
  O  O23  1  0.42415600  0.72528100  0.75000000  1
  O  O24  1  0.57584400  0.22528100  0.75000000  1
  O  O25  1  0.80589400  0.75000000  0.00000000  1
  O  O26  1  0.19903800  0.51886700  0.11207300  1
  O  O27  1  0.80096200  0.01886700  0.11207300  1
"
"True","mp-1041934","Zn(MoO2)2","Orthorhombic","Imma","74","14","0.23445506107142802","-1.576801592142857","False","178.70236502407244","5.970922106187237","0.0","True","True","FM","11.999926199999999","# generated using pymatgen
data_Zn(MoO2)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.46042062
_cell_length_b   6.46042062
_cell_length_c   6.46042062
_cell_angle_alpha   124.38018523
_cell_angle_beta   123.06720580
_cell_angle_gamma   83.66715944
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Zn(MoO2)2
_chemical_formula_sum   'Zn2 Mo4 O8'
_cell_volume   178.70236502
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zn  Zn0  1  0.00000000  0.50000000  0.00000000  1
  Zn  Zn1  1  0.00000000  0.00000000  0.50000000  1
  Mo  Mo2  1  0.62069800  0.87069800  0.75000000  1
  Mo  Mo3  1  0.37930200  0.12930200  0.25000000  1
  Mo  Mo4  1  0.00000000  0.50000000  0.50000000  1
  Mo  Mo5  1  0.50000000  0.50000000  0.00000000  1
  O  O6  1  0.77533800  0.27598200  0.49935600  1
  O  O7  1  0.22471000  0.72640500  0.00169400  1
  O  O8  1  0.27662700  0.27598200  0.00064400  1
  O  O9  1  0.22471000  0.22301600  0.49830600  1
  O  O10  1  0.77529000  0.77698400  0.50169400  1
  O  O11  1  0.77529000  0.27359500  0.99830600  1
  O  O12  1  0.72337300  0.72401800  0.99935600  1
  O  O13  1  0.22466200  0.72401800  0.50064400  1
"
"True","mp-1042144","Zn(MoO2)2","Orthorhombic","Pmmn","59","28","0.190534467857142","-1.620722185357142","False","372.37954170587625","5.730808394371775","0.0","False","True","AFM","0.0","# generated using pymatgen
data_Zn(MoO2)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.52832400
_cell_length_b   6.43739500
_cell_length_c   10.46362500
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Zn(MoO2)2
_chemical_formula_sum   'Zn4 Mo8 O16'
_cell_volume   372.37954171
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zn  Zn0  1  0.86206600  0.00000000  0.50000000  1
  Zn  Zn1  1  0.13793400  0.50000000  0.00000000  1
  Zn  Zn2  1  0.54942600  0.00000000  0.00000000  1
  Zn  Zn3  1  0.45057400  0.50000000  0.50000000  1
  Mo  Mo4  1  0.51658400  0.50000000  0.22953700  1
  Mo  Mo5  1  0.51658400  0.50000000  0.77046300  1
  Mo  Mo6  1  0.48341600  0.00000000  0.27046300  1
  Mo  Mo7  1  0.48341600  0.00000000  0.72953700  1
  Mo  Mo8  1  0.00000000  0.25000000  0.25000000  1
  Mo  Mo9  1  0.00000000  0.75000000  0.75000000  1
  Mo  Mo10  1  0.00000000  0.75000000  0.25000000  1
  Mo  Mo11  1  0.00000000  0.25000000  0.75000000  1
  O  O12  1  0.87253200  0.50000000  0.13612800  1
  O  O13  1  0.87253200  0.50000000  0.86387200  1
  O  O14  1  0.12746800  0.00000000  0.36387200  1
  O  O15  1  0.12746800  0.00000000  0.63612800  1
  O  O16  1  0.20252400  0.50000000  0.34805300  1
  O  O17  1  0.20252400  0.50000000  0.65194700  1
  O  O18  1  0.79747600  0.00000000  0.15194700  1
  O  O19  1  0.79747600  0.00000000  0.84805300  1
  O  O20  1  0.66472200  0.25699200  0.36200000  1
  O  O21  1  0.66472200  0.74300800  0.63800000  1
  O  O22  1  0.33527800  0.75699200  0.13800000  1
  O  O23  1  0.33527800  0.24300800  0.86200000  1
  O  O24  1  0.33527800  0.24300800  0.13800000  1
  O  O25  1  0.33527800  0.75699200  0.86200000  1
  O  O26  1  0.66472200  0.74300800  0.36200000  1
  O  O27  1  0.66472200  0.25699200  0.63800000  1
"
"True","mp-1042597","Zn(MoO2)2","Triclinic","P1","1","14","0.091405876785714","-1.719850776428571","False","184.12644752266613","5.795027906671714","0.0","False","True","FM","10.0000794","# generated using pymatgen
data_Zn(MoO2)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.25005800
_cell_length_b   7.59158763
_cell_length_c   7.77005299
_cell_angle_alpha   81.01544972
_cell_angle_beta   79.87500307
_cell_angle_gamma   79.67750574
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Zn(MoO2)2
_chemical_formula_sum   'Zn2 Mo4 O8'
_cell_volume   184.12644752
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zn  Zn0  1  0.29534400  0.93021200  0.88534900  1
  Zn  Zn1  1  0.67486400  0.08448000  0.08356300  1
  Mo  Mo2  1  0.36014100  0.82864300  0.44982900  1
  Mo  Mo3  1  0.86135200  0.50986800  0.79477600  1
  Mo  Mo4  1  0.16176500  0.51188800  0.17221100  1
  Mo  Mo5  1  0.65967000  0.19443000  0.51721000  1
  O  O6  1  0.16150800  0.33055800  0.38173600  1
  O  O7  1  0.58124000  0.65306200  0.25095900  1
  O  O8  1  0.44207800  0.37020100  0.71555600  1
  O  O9  1  0.85888600  0.69278000  0.58565700  1
  O  O10  1  0.82920000  0.99840000  0.32880400  1
  O  O11  1  0.25499800  0.65392500  0.91004300  1
  O  O12  1  0.18814200  0.02567200  0.63697800  1
  O  O13  1  0.76536400  0.36907900  0.05588600  1
"
"True","mp-1047446","Zn(MoO2)2","Orthorhombic","Pnma","62","28","0.176962079642857","-1.634294573571427","False","335.9951944353894","6.351387873527212","0.7221000000000001","False","False","FM","23.9969255","# generated using pymatgen
data_Zn(MoO2)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.16147100
_cell_length_b   9.65912800
_cell_length_c   11.00286900
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Zn(MoO2)2
_chemical_formula_sum   'Zn4 Mo8 O16'
_cell_volume   335.99519444
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zn  Zn0  1  0.25000000  0.74717100  0.34777200  1
  Zn  Zn1  1  0.75000000  0.25282900  0.65222800  1
  Zn  Zn2  1  0.25000000  0.24717100  0.15222800  1
  Zn  Zn3  1  0.75000000  0.75282900  0.84777200  1
  Mo  Mo4  1  0.75000000  0.89391600  0.09781800  1
  Mo  Mo5  1  0.25000000  0.60608400  0.59781800  1
  Mo  Mo6  1  0.75000000  0.39391600  0.40218200  1
  Mo  Mo7  1  0.25000000  0.10608400  0.90218200  1
  Mo  Mo8  1  0.25000000  0.04703400  0.37686300  1
  Mo  Mo9  1  0.75000000  0.95296600  0.62313700  1
  Mo  Mo10  1  0.25000000  0.54703400  0.12313700  1
  Mo  Mo11  1  0.75000000  0.45296600  0.87686300  1
  O  O12  1  0.75000000  0.39938000  0.06899200  1
  O  O13  1  0.25000000  0.60062000  0.93100800  1
  O  O14  1  0.75000000  0.89938000  0.43100800  1
  O  O15  1  0.25000000  0.10062000  0.56899200  1
  O  O16  1  0.75000000  0.58295400  0.72134500  1
  O  O17  1  0.25000000  0.41704600  0.27865500  1
  O  O18  1  0.75000000  0.08295400  0.77865500  1
  O  O19  1  0.25000000  0.91704600  0.22134500  1
  O  O20  1  0.75000000  0.11572400  0.04812700  1
  O  O21  1  0.25000000  0.88427600  0.95187300  1
  O  O22  1  0.75000000  0.61572400  0.45187300  1
  O  O23  1  0.25000000  0.38427600  0.54812700  1
  O  O24  1  0.25000000  0.31410900  0.82398600  1
  O  O25  1  0.75000000  0.68589100  0.17601400  1
  O  O26  1  0.75000000  0.18589100  0.32398600  1
  O  O27  1  0.25000000  0.81410900  0.67601400  1
"
