"Synthesizable","Material ID","Formula","Crystal System","Space Group Symbol","Space Group Number","Sites","Energy Above Hull","Formation Energy","Predicted Stable","Volume","Density","Band Gap","Is Gap Direct","Is Metal","Magnetic Ordering","Total Magnetization","Structure"
"True","mp-1041603","Zn(AgO2)2","Orthorhombic","Imma","74","14","0.13551152119047402","-0.6438047204761901","False","179.71492351224202","6.378139598679271","0.0","False","True","NM","0.0054173","# generated using pymatgen
data_Zn(AgO2)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.22801845
_cell_length_b   6.22801845
_cell_length_c   6.22801845
_cell_angle_alpha   117.51313705
_cell_angle_beta   114.23820273
_cell_angle_gamma   97.32612748
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Zn(AgO2)2
_chemical_formula_sum   'Zn2 Ag4 O8'
_cell_volume   179.71492351
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zn  Zn0  1  0.00000000  0.50000000  0.00000000  1
  Zn  Zn1  1  0.00000000  0.00000000  0.50000000  1
  Ag  Ag2  1  0.59889600  0.84889600  0.75000000  1
  Ag  Ag3  1  0.40110400  0.15110400  0.25000000  1
  Ag  Ag4  1  0.00000000  0.50000000  0.50000000  1
  Ag  Ag5  1  0.50000000  0.50000000  0.00000000  1
  O  O6  1  0.79953100  0.24995700  0.54957400  1
  O  O7  1  0.26013600  0.71967900  0.95954300  1
  O  O8  1  0.20038300  0.24995700  0.95042600  1
  O  O9  1  0.26013600  0.30059300  0.54045700  1
  O  O10  1  0.73986400  0.69940700  0.45954300  1
  O  O11  1  0.73986400  0.28032100  0.04045700  1
  O  O12  1  0.79961700  0.75004300  0.04957400  1
  O  O13  1  0.20046900  0.75004300  0.45042600  1
"
"True","mp-1041822","Zn(AgO2)2","Triclinic","P-1","2","28","0.167476447619046","-0.611839794047618","False","382.08605131049643","5.999940935794943","0.11519999999999901","False","False","NM","0.0013916","# generated using pymatgen
data_Zn(AgO2)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.59297800
_cell_length_b   6.33404456
_cell_length_c   11.02884404
_cell_angle_alpha   101.97262052
_cell_angle_beta   91.45985728
_cell_angle_gamma   89.78268591
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Zn(AgO2)2
_chemical_formula_sum   'Zn4 Ag8 O16'
_cell_volume   382.08605131
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zn  Zn0  1  0.80086500  0.74825100  0.24984900  1
  Zn  Zn1  1  0.19913500  0.25174900  0.75015100  1
  Zn  Zn2  1  0.50841500  0.75229400  0.74965200  1
  Zn  Zn3  1  0.49158500  0.24770600  0.25034800  1
  Ag  Ag4  1  0.54773100  0.27004100  0.53517100  1
  Ag  Ag5  1  0.54513300  0.23205800  0.96861500  1
  Ag  Ag6  1  0.45226900  0.72995900  0.46482900  1
  Ag  Ag7  1  0.45486700  0.76794200  0.03138500  1
  Ag  Ag8  1  0.00000000  0.50000000  0.50000000  1
  Ag  Ag9  1  0.00000000  0.00000000  0.00000000  1
  Ag  Ag10  1  0.00000000  0.00000000  0.50000000  1
  Ag  Ag11  1  0.00000000  0.50000000  0.00000000  1
  O  O12  1  0.90909400  0.29038900  0.61768000  1
  O  O13  1  0.89564100  0.20881100  0.88460600  1
  O  O14  1  0.09090600  0.70961100  0.38232000  1
  O  O15  1  0.10435900  0.79118900  0.11539400  1
  O  O16  1  0.26262400  0.28162500  0.41422000  1
  O  O17  1  0.26581100  0.22229100  0.08755300  1
  O  O18  1  0.73737600  0.71837500  0.58578000  1
  O  O19  1  0.73418900  0.77770900  0.91244700  1
  O  O20  1  0.62522900  0.53605000  0.32684900  1
  O  O21  1  0.63815200  0.96588200  0.16931300  1
  O  O22  1  0.28700600  0.94283000  0.60433200  1
  O  O23  1  0.27756800  0.54690200  0.89500900  1
  O  O24  1  0.37477100  0.46395000  0.67315100  1
  O  O25  1  0.36184800  0.03411800  0.83068700  1
  O  O26  1  0.71299400  0.05717000  0.39566800  1
  O  O27  1  0.72243200  0.45309800  0.10499100  1
"
"True","mp-1042280","Zn(AgO2)2","Triclinic","P-1","2","14","0.14964349547618902","-0.6296727461904751","False","197.98858075926455","5.7894595018122565","0.2545","False","False","NM","0.000592","# generated using pymatgen
data_Zn(AgO2)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.26025276
_cell_length_b   8.10813820
_cell_length_c   7.87131924
_cell_angle_alpha   81.01015955
_cell_angle_beta   78.44478912
_cell_angle_gamma   98.33006258
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Zn(AgO2)2
_chemical_formula_sum   'Zn2 Ag4 O8'
_cell_volume   197.98858076
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zn  Zn0  1  0.30224600  0.18219000  0.21161100  1
  Zn  Zn1  1  0.69984100  0.79589900  0.82146100  1
  Ag  Ag2  1  0.66896000  0.16774300  0.55846900  1
  Ag  Ag3  1  0.07533400  0.52243200  0.20069900  1
  Ag  Ag4  1  0.92714100  0.45572800  0.83246500  1
  Ag  Ag5  1  0.33334500  0.81028600  0.47455500  1
  O  O6  1  0.84025900  0.63244700  0.63263600  1
  O  O7  1  0.56992000  0.25860800  0.77889600  1
  O  O8  1  0.43270800  0.71972000  0.25393800  1
  O  O9  1  0.16227900  0.34560200  0.40045200  1
  O  O10  1  0.30357400  0.93210000  0.69479400  1
  O  O11  1  0.88409000  0.31475500  0.08421400  1
  O  O12  1  0.69862400  0.04598000  0.33829600  1
  O  O13  1  0.11799100  0.66331100  0.94895700  1
"
"True","mp-1044628","Zn(AgO2)2","Trigonal","P3m1","156","42","0.158895076904761","-0.620421164761904","False","548.1535138895825","6.273316731987285","0.0","False","True","FM","12.8706628","# generated using pymatgen
data_Zn(AgO2)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.39278234
_cell_length_b   6.39278234
_cell_length_c   15.48787200
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.00000347
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Zn(AgO2)2
_chemical_formula_sum   'Zn6 Ag12 O24'
_cell_volume   548.15351389
_cell_formula_units_Z   6
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zn  Zn0  1  0.33333300  0.66666700  0.95425300  1
  Zn  Zn1  1  0.00000000  0.00000000  0.62374300  1
  Zn  Zn2  1  0.00000000  0.00000000  0.99799700  1
  Zn  Zn3  1  0.66666700  0.33333300  0.28890600  1
  Zn  Zn4  1  0.33333300  0.66666700  0.71006800  1
  Zn  Zn5  1  0.00000000  0.00000000  0.37717600  1
  Ag  Ag6  1  0.83585400  0.67170800  0.83349800  1
  Ag  Ag7  1  0.32829200  0.16414600  0.83349800  1
  Ag  Ag8  1  0.49997600  0.99995100  0.50013700  1
  Ag  Ag9  1  0.83585400  0.16414600  0.83349800  1
  Ag  Ag10  1  0.66666700  0.33333300  0.66677400  1
  Ag  Ag11  1  0.00004900  0.50002400  0.50013700  1
  Ag  Ag12  1  0.16511400  0.33022900  0.16628400  1
  Ag  Ag13  1  0.49997600  0.50002400  0.50013700  1
  Ag  Ag14  1  0.16511400  0.83488600  0.16628400  1
  Ag  Ag15  1  0.33333300  0.66666700  0.33402700  1
  Ag  Ag16  1  0.66977100  0.83488600  0.16628400  1
  Ag  Ag17  1  0.66666700  0.33333300  0.04193500  1
  O  O18  1  0.68666200  0.84333100  0.91758100  1
  O  O19  1  0.00000000  0.00000000  0.75400700  1
  O  O20  1  0.15666900  0.84333100  0.91758100  1
  O  O21  1  0.15666900  0.31333800  0.91758100  1
  O  O22  1  0.50519400  0.01038800  0.75321600  1
  O  O23  1  0.34166800  0.17083400  0.58171000  1
  O  O24  1  0.50519400  0.49480600  0.75321600  1
  O  O25  1  0.66666700  0.33333300  0.90280900  1
  O  O26  1  0.82916600  0.17083400  0.58171000  1
  O  O27  1  0.66666700  0.33333300  0.41867700  1
  O  O28  1  0.98961200  0.49480600  0.75321600  1
  O  O29  1  0.82916600  0.65833200  0.58171000  1
  O  O30  1  0.17149000  0.34298100  0.41885800  1
  O  O31  1  0.01537800  0.50768900  0.24316800  1
  O  O32  1  0.17149000  0.82851000  0.41885800  1
  O  O33  1  0.33333300  0.66666700  0.58034100  1
  O  O34  1  0.33333300  0.66666700  0.08270300  1
  O  O35  1  0.49231100  0.50768900  0.24316800  1
  O  O36  1  0.65701900  0.82851000  0.41885800  1
  O  O37  1  0.49231100  0.98462200  0.24316800  1
  O  O38  1  0.85447000  0.70893900  0.09047500  1
  O  O39  1  0.00000000  0.00000000  0.25140400  1
  O  O40  1  0.85447000  0.14553000  0.09047500  1
  O  O41  1  0.29106100  0.14553000  0.09047500  1
"
"True","mp-1044670","Zn(AgO2)2","Trigonal","R3m","160","14","0.13643628547619002","-0.642879956190475","False","182.74241617415606","6.272472992995004","0.0","False","True","NM","0.0129731","# generated using pymatgen
data_Zn(AgO2)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.30584419
_cell_length_b   6.30584419
_cell_length_c   6.30584436
_cell_angle_alpha   61.36555054
_cell_angle_beta   61.36555054
_cell_angle_gamma   61.36555237
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Zn(AgO2)2
_chemical_formula_sum   'Zn2 Ag4 O8'
_cell_volume   182.74241617
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zn  Zn0  1  0.00802300  0.00802300  0.00802300  1
  Zn  Zn1  1  0.62636000  0.62636000  0.62636000  1
  Ag  Ag2  1  0.24369300  0.24369300  0.24369300  1
  Ag  Ag3  1  0.62609700  0.12300400  0.62609700  1
  Ag  Ag4  1  0.62609700  0.62609700  0.12300400  1
  Ag  Ag5  1  0.12300400  0.62609700  0.62609700  1
  O  O6  1  0.82574900  0.38769900  0.38769900  1
  O  O7  1  0.38769900  0.38769900  0.82574900  1
  O  O8  1  0.38769900  0.82574900  0.38769900  1
  O  O9  1  0.37983300  0.37983300  0.37983300  1
  O  O10  1  0.87896100  0.87896100  0.87896100  1
  O  O11  1  0.86665900  0.40346900  0.86665900  1
  O  O12  1  0.86665900  0.86665900  0.40346900  1
  O  O13  1  0.40346900  0.86665900  0.86665900  1
"
"True","mp-1044896","Zn(AgO2)2","Trigonal","P3m1","156","42","0.14705217428571302","-0.6322640673809521","False","546.0800610961454","6.297136363994989","0.0","False","True","FM","8.5644061","# generated using pymatgen
data_Zn(AgO2)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.40680398
_cell_length_b   6.40680398
_cell_length_c   15.36182500
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   119.99999981
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Zn(AgO2)2
_chemical_formula_sum   'Zn6 Ag12 O24'
_cell_volume   546.08006110
_cell_formula_units_Z   6
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zn  Zn0  1  0.00000000  0.00000000  0.95152500  1
  Zn  Zn1  1  0.66666700  0.33333300  0.61962300  1
  Zn  Zn2  1  0.33333300  0.66666700  0.66547500  1
  Zn  Zn3  1  0.33333300  0.66666700  0.28676200  1
  Zn  Zn4  1  0.66666700  0.33333300  0.99806300  1
  Zn  Zn5  1  0.66666700  0.33333300  0.37965400  1
  Ag  Ag6  1  0.99834100  0.49917100  0.83316200  1
  Ag  Ag7  1  0.50082900  0.49917100  0.83316200  1
  Ag  Ag8  1  0.66102000  0.83051000  0.50036300  1
  Ag  Ag9  1  0.50082900  0.00165900  0.83316200  1
  Ag  Ag10  1  0.16949000  0.83051000  0.50036300  1
  Ag  Ag11  1  0.00000000  0.00000000  0.33439600  1
  Ag  Ag12  1  0.00000000  0.00000000  0.70982500  1
  Ag  Ag13  1  0.33666400  0.16833200  0.16633300  1
  Ag  Ag14  1  0.16949000  0.33898000  0.50036300  1
  Ag  Ag15  1  0.83166800  0.16833200  0.16633300  1
  Ag  Ag16  1  0.83166800  0.66333600  0.16633300  1
  Ag  Ag17  1  0.33333300  0.66666700  0.04530800  1
  O  O18  1  0.35883100  0.17941600  0.91279700  1
  O  O19  1  0.66666700  0.33333300  0.74996900  1
  O  O20  1  0.82058400  0.17941600  0.91279700  1
  O  O21  1  0.82058400  0.64116900  0.91279700  1
  O  O22  1  0.02045100  0.51022600  0.58488900  1
  O  O23  1  0.18780400  0.37560800  0.75825500  1
  O  O24  1  0.33333300  0.66666700  0.41794300  1
  O  O25  1  0.18780400  0.81219600  0.75825500  1
  O  O26  1  0.33333300  0.66666700  0.91007700  1
  O  O27  1  0.48977400  0.51022600  0.58488900  1
  O  O28  1  0.48977400  0.97954900  0.58488900  1
  O  O29  1  0.62439200  0.81219600  0.75825500  1
  O  O30  1  0.68252900  0.84126500  0.24161500  1
  O  O31  1  0.83815100  0.67630300  0.42112200  1
  O  O32  1  0.83815100  0.16184900  0.42112200  1
  O  O33  1  0.00000000  0.00000000  0.07965100  1
  O  O34  1  0.00000000  0.00000000  0.57057800  1
  O  O35  1  0.15873500  0.84126500  0.24161500  1
  O  O36  1  0.15873500  0.31747100  0.24161500  1
  O  O37  1  0.32369700  0.16184900  0.42112200  1
  O  O38  1  0.52135400  0.04270800  0.09080300  1
  O  O39  1  0.52135400  0.47864600  0.09080300  1
  O  O40  1  0.66666700  0.33333300  0.25331500  1
  O  O41  1  0.95729200  0.47864600  0.09080300  1
"
"True","mp-1047016","Zn(AgO2)2","Tetragonal","I4_1/amd","141","14","0.06889668119047501","-0.710419560476189","False","197.40064828822324","5.806702663171706","0.22429999999999903","False","False","NM","9.78e-05","# generated using pymatgen
data_Zn(AgO2)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   7.05664630
_cell_length_b   7.05664630
_cell_length_c   7.05664630
_cell_angle_alpha   130.70738515
_cell_angle_beta   130.70738515
_cell_angle_gamma   72.27839685
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Zn(AgO2)2
_chemical_formula_sum   'Zn2 Ag4 O8'
_cell_volume   197.40064829
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zn  Zn0  1  0.50000000  0.50000000  0.00000000  1
  Zn  Zn1  1  0.25000000  0.75000000  0.50000000  1
  Ag  Ag2  1  0.87500000  0.12500000  0.25000000  1
  Ag  Ag3  1  0.37500000  0.12500000  0.25000000  1
  Ag  Ag4  1  0.87500000  0.62500000  0.75000000  1
  Ag  Ag5  1  0.87500000  0.12500000  0.75000000  1
  O  O6  1  0.62234400  0.86239200  0.75995100  1
  O  O7  1  0.13760800  0.89755900  0.75995100  1
  O  O8  1  0.13760800  0.37765600  0.24004900  1
  O  O9  1  0.12765600  0.38760800  0.74004900  1
  O  O10  1  0.64755900  0.38760800  0.25995100  1
  O  O11  1  0.61239200  0.35244100  0.74004900  1
  O  O12  1  0.10244100  0.86239200  0.24004900  1
  O  O13  1  0.61239200  0.87234400  0.25995100  1
"
"True","mp-1047248","Zn(AgO2)2","Tetragonal","I4_1/a","88","14","0.12035869690476","-0.658957544761904","False","180.13198355797073","6.363372275630096","0.0","False","True","NM","4.75e-05","# generated using pymatgen
data_Zn(AgO2)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.29749926
_cell_length_b   6.29749926
_cell_length_c   6.29749926
_cell_angle_alpha   118.61135636
_cell_angle_beta   118.61135636
_cell_angle_gamma   92.42251462
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Zn(AgO2)2
_chemical_formula_sum   'Zn2 Ag4 O8'
_cell_volume   180.13198356
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zn  Zn0  1  0.00000000  0.00000000  0.00000000  1
  Zn  Zn1  1  0.75000000  0.25000000  0.50000000  1
  Ag  Ag2  1  0.37500000  0.62500000  0.25000000  1
  Ag  Ag3  1  0.37500000  0.12500000  0.75000000  1
  Ag  Ag4  1  0.87500000  0.62500000  0.25000000  1
  Ag  Ag5  1  0.37500000  0.62500000  0.75000000  1
  O  O6  1  0.67127700  0.86847200  0.32317400  1
  O  O7  1  0.13152800  0.45470200  0.80280400  1
  O  O8  1  0.65189700  0.32872300  0.19719600  1
  O  O9  1  0.20470200  0.90189700  0.82317400  1
  O  O10  1  0.09810300  0.92127700  0.30280400  1
  O  O11  1  0.61847200  0.79529800  0.69719600  1
  O  O12  1  0.54529800  0.34810300  0.67682600  1
  O  O13  1  0.07872300  0.38152800  0.17682600  1
"
"True","mp-1047348","Zn(AgO2)2","Orthorhombic","Cmcm","63","14","0.16743966833333201","-0.611876573333332","False","163.7067196384147","7.001831523219124","0.0","False","True","NM","0.000317","# generated using pymatgen
data_Zn(AgO2)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.52054808
_cell_length_b   5.52054808
_cell_length_c   9.97183300
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   147.40648925
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Zn(AgO2)2
_chemical_formula_sum   'Zn2 Ag4 O8'
_cell_volume   163.70671964
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zn  Zn0  1  0.60965400  0.39034600  0.75000000  1
  Zn  Zn1  1  0.39034600  0.60965400  0.25000000  1
  Ag  Ag2  1  0.13056400  0.86943600  0.07204000  1
  Ag  Ag3  1  0.86943600  0.13056400  0.92796000  1
  Ag  Ag4  1  0.13056400  0.86943600  0.42796000  1
  Ag  Ag5  1  0.86943600  0.13056400  0.57204000  1
  O  O6  1  0.78717000  0.21283000  0.37987200  1
  O  O7  1  0.21283000  0.78717000  0.62012800  1
  O  O8  1  0.21283000  0.78717000  0.87987200  1
  O  O9  1  0.78717000  0.21283000  0.12012800  1
  O  O10  1  0.02437100  0.97562900  0.25000000  1
  O  O11  1  0.97562900  0.02437100  0.75000000  1
  O  O12  1  0.50000000  0.50000000  0.00000000  1
  O  O13  1  0.50000000  0.50000000  0.50000000  1
"
"True","mp-1047547","Zn(AgO2)2","Orthorhombic","Pbcm","57","28","0.105544266547618","-0.6737719751190471","False","341.1674780698128","6.719555314076519","0.196499999999999","False","False","NM","0.0036046","# generated using pymatgen
data_Zn(AgO2)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.18641400
_cell_length_b   9.89801700
_cell_length_c   10.81725900
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Zn(AgO2)2
_chemical_formula_sum   'Zn4 Ag8 O16'
_cell_volume   341.16747807
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zn  Zn0  1  0.31490200  0.25000000  0.84880800  1
  Zn  Zn1  1  0.31490200  0.75000000  0.65119200  1
  Zn  Zn2  1  0.68509800  0.25000000  0.34880800  1
  Zn  Zn3  1  0.68509800  0.75000000  0.15119200  1
  Ag  Ag4  1  0.82320400  0.07060000  0.61548500  1
  Ag  Ag5  1  0.82320400  0.57060000  0.88451500  1
  Ag  Ag6  1  0.17679600  0.57060000  0.38451500  1
  Ag  Ag7  1  0.82320400  0.92940000  0.88451500  1
  Ag  Ag8  1  0.17679600  0.92940000  0.38451500  1
  Ag  Ag9  1  0.82320400  0.42940000  0.61548500  1
  Ag  Ag10  1  0.17679600  0.42940000  0.11548500  1
  Ag  Ag11  1  0.17679600  0.07060000  0.11548500  1
  O  O12  1  0.12522900  0.37616500  0.45145500  1
  O  O13  1  0.87477100  0.62383500  0.54854500  1
  O  O14  1  0.45407000  0.50000000  0.75000000  1
  O  O15  1  0.87477100  0.37616500  0.95145500  1
  O  O16  1  0.87477100  0.12383500  0.95145500  1
  O  O17  1  0.80273100  0.75000000  0.78469400  1
  O  O18  1  0.12522900  0.62383500  0.04854500  1
  O  O19  1  0.19726900  0.75000000  0.28469400  1
  O  O20  1  0.45407000  0.00000000  0.75000000  1
  O  O21  1  0.54593000  0.50000000  0.25000000  1
  O  O22  1  0.12522900  0.12383500  0.45145500  1
  O  O23  1  0.19726900  0.25000000  0.21530600  1
  O  O24  1  0.80273100  0.25000000  0.71530600  1
  O  O25  1  0.54593000  0.00000000  0.25000000  1
  O  O26  1  0.12522900  0.87616500  0.04854500  1
  O  O27  1  0.87477100  0.87616500  0.54854500  1
"
