chemsys,source,n_points,dip_method,dip_cell_length,E_min,E_expected,delta_E,left_x,right_x,baseline_slope
Y-O,Y2O3_1178770_POSCAR,35,local_max_drop,8.74321435,-0.23724633517101,-0.06838830567015299,-0.168858029500857,7.537254,14.773017,0.0085843
Y-O,Y2O3_1216050_POSCAR,35,global_gradient_fallback,5.3286016,-0.041903442641847,-0.02894487662864008,-0.01295856601320692,5.138294,9.325053,0.00642434
Y-O,Y2O3_1244888_POSCAR,35,local_max_drop,17.852076048,-0.89745771718967,-0.28354220178782774,-0.6139155154018423,15.389721,30.163853,0.01739951
Y-O,Y2O3_1244949_POSCAR,35,local_max_drop,16.5300169137,-0.91676023835272,-0.2840635392433851,-0.6326966991093349,14.250015,27.930029,0.0188491
Y-O,Y2O3_1245017_POSCAR,35,local_max_drop,16.8067582914,-0.89582933175862,-0.2775504124955615,-0.6182789192630584,14.488585,28.397626,0.01805347
Y-O,Y2O3_1245291_POSCAR,35,local_max_drop,17.1299577322,-0.91433370167584,-0.28333044035425026,-0.6310032613215898,14.767205,28.943722,0.01816541
Y-O,Y2O3_13061_POSCAR,35,global_gradient_fallback,5.117971124,-0.037764812681151,-0.03642422193394657,-0.001340590747204426,4.935186,8.956449,0.00844952
Y-O,Y2O3_2652_POSCAR,35,local_max_drop,12.5588150709,-0.39547654185071,-0.12046674424472267,-0.2750097976059873,10.826565,21.220067,0.01055006
Y-O,Y2O3_558573_POSCAR,35,local_max_drop,5.0578934945,-0.16639755424903,-0.04988223545496466,-0.11651531879406533,4.360253,8.546096,0.01088217
Y-O,Y2O3_673247_POSCAR,35,local_max_drop,7.67443675,-0.099866144207217,-0.03212550055835882,-0.06774064364885818,6.615894,12.967152,0.0047422
Y-O,Y2O3_754759_POSCAR,35,local_max_drop,7.2609969133,-0.10080957743736,-0.030904652758063263,-0.06990492467929674,6.25948,12.268581,0.00466989
Y-O,Y2O3_775906_POSCAR,35,local_max_drop,8.369639221,-0.4138984894324,-0.12789691267324282,-0.28600157675915716,7.215206,14.141804,0.01689439
Y-O,Y2O3_775907_POSCAR,35,local_max_drop,20.5237026126,-0.32496175412821,-0.0956605987474269,-0.2293011553807831,17.692847,34.67798,0.00507819
Y-O,Y2O3_777514_POSCAR,35,local_max_drop,4.95915515,-0.21744094285905,-0.06450237576674102,-0.15293856709230896,4.275134,8.379262,0.01442853
Y-O,YO2_1102883_POSCAR,35,global_gradient_fallback,7.5944252864,-0.061474054402496,-0.040860842234167555,-0.020613212168328447,7.051966,13.290244,0.00621448
Y-O,YO2_1178684_POSCAR,35,global_gradient_fallback,5.872861719,-0.032300550655381,-0.02188881049410691,-0.010411740161274087,5.453372,10.277508,0.00432323
Y-O,YO2_1206610_POSCAR,35,global_gradient_fallback,5.054865774,-0.032210847524993,-0.027515337579007988,-0.004695509945985013,4.874335,8.846015,0.00633355
Y-O,YO2_1977753_POSCAR,35,global_gradient_fallback,5.7545413405,-0.030603340424257,-0.020390721364078653,-0.010212619060178348,5.343503,10.070447,0.00409086
Y-O,YO_1187855_POSCAR,35,global_gradient_fallback,5.61832614,-0.049811818008045,-0.03939724060967589,-0.01041457739836911,3.210472,9.832071,0.00849804
