"Synthesizable","Material ID","Formula","Crystal System","Space Group Symbol","Space Group Number","Sites","Energy Above Hull","Formation Energy","Predicted Stable","Volume","Density","Band Gap","Is Gap Direct","Is Metal","Magnetic Ordering","Total Magnetization","Structure"
"True","mp-685070","Zr19O40","Triclinic","P1","1","59","0.108496557711864","-3.575846019152542","False","703.432861447232","5.602303597243692","0.10260000000000001","False","False","FM","3.998874599999999","# generated using pymatgen
data_Zr19O40
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   8.16520300
_cell_length_b   8.17058614
_cell_length_c   11.16642157
_cell_angle_alpha   98.56666411
_cell_angle_beta   107.07788228
_cell_angle_gamma   89.96974130
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Zr19O40
_chemical_formula_sum   'Zr19 O40'
_cell_volume   703.43286145
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zr  Zr0  1  0.59916000  0.17534300  0.62374200  1
  Zr  Zr1  1  0.39271700  0.07354000  0.12180100  1
  Zr  Zr2  1  0.79953700  0.02717100  0.37436500  1
  Zr  Zr3  1  0.00068200  0.12020700  0.87861500  1
  Zr  Zr4  1  0.00020600  0.37661700  0.62658800  1
  Zr  Zr5  1  0.79927100  0.27413100  0.12564700  1
  Zr  Zr6  1  0.20064600  0.22400800  0.37552200  1
  Zr  Zr7  1  0.40234200  0.33081400  0.87895500  1
  Zr  Zr8  1  0.40026800  0.58140600  0.62782000  1
  Zr  Zr9  1  0.20512400  0.47846300  0.12288400  1
  Zr  Zr10  1  0.80423200  0.52362600  0.87214900  1
  Zr  Zr11  1  0.59948900  0.42430700  0.37475100  1
  Zr  Zr12  1  0.80434100  0.76682400  0.62770500  1
  Zr  Zr13  1  0.59737300  0.67337600  0.12409600  1
  Zr  Zr14  1  0.99765200  0.62438300  0.37407500  1
  Zr  Zr15  1  0.00434300  0.87453600  0.12461300  1
  Zr  Zr16  1  0.20028200  0.97440500  0.62536900  1
  Zr  Zr17  1  0.39822500  0.82479300  0.37629100  1
  Zr  Zr18  1  0.59227700  0.92640100  0.86995100  1
  O  O19  1  0.35930800  0.05424600  0.52467900  1
  O  O20  1  0.46364400  0.11222400  0.77514300  1
  O  O21  1  0.26086900  0.00360200  0.27363200  1
  O  O22  1  0.83219600  0.04770700  0.97155900  1
  O  O23  1  0.76066900  0.25582900  0.52614400  1
  O  O24  1  0.85717100  0.29869500  0.77777400  1
  O  O25  1  0.66333400  0.20834800  0.27590500  1
  O  O26  1  0.55732600  0.15655900  0.02645200  1
  O  O27  1  0.04009800  0.14423700  0.47377400  1
  O  O28  1  0.23891700  0.24435300  0.97286300  1
  O  O29  1  0.13921700  0.19469600  0.72404500  1
  O  O30  1  0.93942500  0.09351100  0.22262000  1
  O  O31  1  0.96498400  0.35441800  0.03060000  1
  O  O32  1  0.05820300  0.40343400  0.28032500  1
  O  O33  1  0.16369400  0.45232700  0.52768400  1
  O  O34  1  0.26050200  0.49205400  0.76346900  1
  O  O35  1  0.53972400  0.39748800  0.72241300  1
  O  O36  1  0.44132100  0.34199900  0.47290000  1
  O  O37  1  0.64556700  0.44152800  0.97390600  1
  O  O38  1  0.33990300  0.29615500  0.22432900  1
  O  O39  1  0.66153300  0.70558300  0.77783600  1
  O  O40  1  0.37012600  0.53979200  0.02572100  1
  O  O41  1  0.46079100  0.60705900  0.27479000  1
  O  O42  1  0.55957600  0.65577900  0.52484200  1
  O  O43  1  0.03307500  0.64221800  0.98895700  1
  O  O44  1  0.92339500  0.58256900  0.72439300  1
  O  O45  1  0.84146500  0.54550800  0.47617700  1
  O  O46  1  0.74015900  0.49552600  0.22454600  1
  O  O47  1  0.05012500  0.91275700  0.76295100  1
  O  O48  1  0.86169800  0.80570200  0.27893700  1
  O  O49  1  0.76219600  0.75505900  0.02871200  1
  O  O50  1  0.95779600  0.85794200  0.52696900  1
  O  O51  1  0.45710300  0.85106800  0.98568600  1
  O  O52  1  0.14065200  0.69433700  0.22755600  1
  O  O53  1  0.35554700  0.80643100  0.72218700  1
  O  O54  1  0.23781100  0.74413800  0.47523900  1
  O  O55  1  0.14990200  0.96969100  0.02540600  1
  O  O56  1  0.73692900  0.99066700  0.71885900  1
  O  O57  1  0.54160500  0.89693000  0.22147700  1
  O  O58  1  0.63427500  0.94848200  0.46860300  1
"
"True","mp-684977","Zr27O49","Trigonal","P3m1","156","76","0.116127795493419","-3.578150040592106","False","919.101917805969","5.866380137850064","0.0","False","True","NM","0.539990299999999","# generated using pymatgen
data_Zr27O49
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.63211897
_cell_length_b   3.63211897
_cell_length_c   80.44755100
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   119.99998123
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Zr27O49
_chemical_formula_sum   'Zr27 O49'
_cell_volume   919.10191781
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zr  Zr0  1  0.33333300  0.66666700  0.99977000  1
  Zr  Zr1  1  0.66666700  0.33333300  0.96376200  1
  Zr  Zr2  1  0.00000000  0.00000000  0.92636700  1
  Zr  Zr3  1  0.33333300  0.66666700  0.88883800  1
  Zr  Zr4  1  0.66666700  0.33333300  0.85288000  1
  Zr  Zr5  1  0.00000000  0.00000000  0.81462800  1
  Zr  Zr6  1  0.33333300  0.66666700  0.77868300  1
  Zr  Zr7  1  0.66666700  0.33333300  0.74109200  1
  Zr  Zr8  1  0.00000000  0.00000000  0.70362600  1
  Zr  Zr9  1  0.33333300  0.66666700  0.66739000  1
  Zr  Zr10  1  0.66666700  0.33333300  0.62983500  1
  Zr  Zr11  1  0.00000000  0.00000000  0.59237200  1
  Zr  Zr12  1  0.33333300  0.66666700  0.55613900  1
  Zr  Zr13  1  0.66666700  0.33333300  0.51855800  1
  Zr  Zr14  1  0.00000000  0.00000000  0.48163300  1
  Zr  Zr15  1  0.33333300  0.66666700  0.44459200  1
  Zr  Zr16  1  0.66666700  0.33333300  0.40754200  1
  Zr  Zr17  1  0.00000000  0.00000000  0.37046700  1
  Zr  Zr18  1  0.33333300  0.66666700  0.33339700  1
  Zr  Zr19  1  0.00000000  0.00000000  0.25934000  1
  Zr  Zr20  1  0.66666700  0.33333300  0.29634600  1
  Zr  Zr21  1  0.33333300  0.66666700  0.22234900  1
  Zr  Zr22  1  0.66666700  0.33333300  0.18532100  1
  Zr  Zr23  1  0.00000000  0.00000000  0.14826700  1
  Zr  Zr24  1  0.33333300  0.66666700  0.11122400  1
  Zr  Zr25  1  0.66666700  0.33333300  0.07411100  1
  Zr  Zr26  1  0.00000000  0.00000000  0.03715800  1
  O  O27  1  0.00000000  0.00000000  0.95384600  1
  O  O28  1  0.33333300  0.66666700  0.97306500  1
  O  O29  1  0.33333300  0.66666700  0.91633200  1
  O  O30  1  0.66666700  0.33333300  0.93492100  1
  O  O31  1  0.00000000  0.00000000  0.89619900  1
  O  O32  1  0.00000000  0.00000000  0.84298700  1
  O  O33  1  0.33333300  0.66666700  0.86230600  1
  O  O34  1  0.66666700  0.33333300  0.82187200  1
  O  O35  1  0.66666700  0.33333300  0.76887700  1
  O  O36  1  0.00000000  0.00000000  0.78810500  1
  O  O37  1  0.00000000  0.00000000  0.73123100  1
  O  O38  1  0.33333300  0.66666700  0.74985200  1
  O  O39  1  0.66666700  0.33333300  0.71108000  1
  O  O40  1  0.66666700  0.33333300  0.65783200  1
  O  O41  1  0.00000000  0.00000000  0.67706000  1
  O  O42  1  0.00000000  0.00000000  0.62015700  1
  O  O43  1  0.33333300  0.66666700  0.63881000  1
  O  O44  1  0.66666700  0.33333300  0.59998800  1
  O  O45  1  0.66666700  0.33333300  0.54688600  1
  O  O46  1  0.00000000  0.00000000  0.50911000  1
  O  O47  1  0.00000000  0.00000000  0.56597000  1
  O  O48  1  0.33333300  0.66666700  0.52770800  1
  O  O49  1  0.33333300  0.66666700  0.47215700  1
  O  O50  1  0.66666700  0.33333300  0.43511600  1
  O  O51  1  0.66666700  0.33333300  0.49073100  1
  O  O52  1  0.00000000  0.00000000  0.45367300  1
  O  O53  1  0.00000000  0.00000000  0.39808500  1
  O  O54  1  0.33333300  0.66666700  0.41665300  1
  O  O55  1  0.33333300  0.66666700  0.36105100  1
  O  O56  1  0.66666700  0.33333300  0.37961200  1
  O  O57  1  0.66666700  0.33333300  0.32401600  1
  O  O58  1  0.00000000  0.00000000  0.34257000  1
  O  O59  1  0.00000000  0.00000000  0.28700900  1
  O  O60  1  0.33333300  0.66666700  0.30553900  1
  O  O61  1  0.33333300  0.66666700  0.25001000  1
  O  O62  1  0.66666700  0.33333300  0.26853900  1
  O  O63  1  0.66666700  0.33333300  0.21297800  1
  O  O64  1  0.00000000  0.00000000  0.23154900  1
  O  O65  1  0.00000000  0.00000000  0.17589100  1
  O  O66  1  0.33333300  0.66666700  0.19450600  1
  O  O67  1  0.33333300  0.66666700  0.13879300  1
  O  O68  1  0.66666700  0.33333300  0.10169600  1
  O  O69  1  0.66666700  0.33333300  0.15739900  1
  O  O70  1  0.00000000  0.00000000  0.12031700  1
  O  O71  1  0.00000000  0.00000000  0.06443500  1
  O  O72  1  0.33333300  0.66666700  0.08319100  1
  O  O73  1  0.33333300  0.66666700  0.02743400  1
  O  O74  1  0.66666700  0.33333300  0.04611900  1
  O  O75  1  0.00000000  0.00000000  0.00735000  1
"
"True","mp-10735","Zr2O","Cubic","Pn-3m","224","6","0.22800907249999702","-1.771641915000001","False","115.95362797641955","5.683818024774703","0.0","False","True","NM","0.0763002","# generated using pymatgen
data_Zr2O
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.87634900
_cell_length_b   4.87634900
_cell_length_c   4.87634900
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Zr2O
_chemical_formula_sum   'Zr4 O2'
_cell_volume   115.95362798
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zr  Zr0  1  0.25000000  0.25000000  0.75000000  1
  Zr  Zr1  1  0.75000000  0.25000000  0.25000000  1
  Zr  Zr2  1  0.25000000  0.75000000  0.25000000  1
  Zr  Zr3  1  0.75000000  0.75000000  0.75000000  1
  O  O4  1  0.00000000  0.00000000  0.00000000  1
  O  O5  1  0.50000000  0.50000000  0.50000000  1
"
"True","mp-753629","Zr2O","Trigonal","P312","149","18","0.008804855277775001","-1.990846132222222","False","288.44786290793894","6.854541899733948","0.0","False","True","NM","0.0","# generated using pymatgen
data_Zr2O
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.65038706
_cell_length_b   5.65023909
_cell_length_c   10.43250800
_cell_angle_alpha   89.99979167
_cell_angle_beta   90.00030392
_cell_angle_gamma   119.99932746
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Zr2O
_chemical_formula_sum   'Zr12 O6'
_cell_volume   288.44786291
_cell_formula_units_Z   6
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zr  Zr0  1  0.00084888  0.65806274  0.24614764  1
  Zr  Zr1  1  0.00024791  0.66706397  0.74916139  1
  Zr  Zr2  1  0.00025332  0.33315603  0.00085755  1
  Zr  Zr3  1  0.00082201  0.34285872  0.50386239  1
  Zr  Zr4  1  0.33288413  0.33316137  0.74914445  1
  Zr  Zr5  1  0.34199121  0.34282913  0.24612625  1
  Zr  Zr6  1  0.33290203  0.99971382  0.00083057  1
  Zr  Zr7  1  0.34201050  0.99916691  0.50386214  1
  Zr  Zr8  1  0.66682009  0.66707855  0.00086122  1
  Zr  Zr9  1  0.65716323  0.65799317  0.50389080  1
  Zr  Zr10  1  0.65711777  0.99918203  0.24613692  1
  Zr  Zr11  1  0.66680510  0.99972852  0.74915340  1
  O  O12  1  0.33330937  0.66669267  0.11754061  1
  O  O13  1  0.33329206  0.66667866  0.63249581  1
  O  O14  1  0.33337958  0.66661363  0.37497745  1
  O  O15  1  0.99996583  0.99998257  0.87498643  1
  O  O16  1  0.66664770  0.33333142  0.87498397  1
  O  O17  1  0.66664128  0.33340508  0.37497700  1
"
"True","mp-1017","Zr3O","Hexagonal","P6_322","182","8","0.007423523749999001","-1.538735771875001","False","143.58864502115784","6.699842819825176","0.0","False","True","NM","2.8e-06","# generated using pymatgen
data_Zr3O
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.64998866
_cell_length_b   5.64998406
_cell_length_c   5.19391355
_cell_angle_alpha   90.00004561
_cell_angle_beta   89.99997208
_cell_angle_gamma   120.00001137
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Zr3O
_chemical_formula_sum   'Zr6 O2'
_cell_volume   143.58864502
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zr  Zr0  1  0.99999925  0.66056433  0.49999993  1
  Zr  Zr1  1  0.99999776  0.33943348  0.00000108  1
  Zr  Zr2  1  0.66056574  0.66056762  0.99999830  1
  Zr  Zr3  1  0.66056811  0.00000216  0.49999948  1
  Zr  Zr4  1  0.33943199  0.33943442  0.50000043  1
  Zr  Zr5  1  0.33943668  0.00000013  0.00000076  1
  O  O6  1  0.66666821  0.33333305  0.74999009  1
  O  O7  1  0.33333227  0.66666681  0.25000992  1
"
"True","mp-14024","Zr3O","Trigonal","R-3c","167","8","0.0","-1.5461592956249999","True","143.83052778680639","6.688575555944507","0.0","False","True","NM","0.0","# generated using pymatgen
data_Zr3O
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.13491451
_cell_length_b   6.13491533
_cell_length_c   6.13491436
_cell_angle_alpha   54.88477413
_cell_angle_beta   54.88476300
_cell_angle_gamma   54.88476707
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Zr3O
_chemical_formula_sum   'Zr6 O2'
_cell_volume   143.83052779
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zr  Zr0  1  0.59151433  0.90848567  0.25000000  1
  Zr  Zr1  1  0.25000000  0.59151433  0.90848567  1
  Zr  Zr2  1  0.90848567  0.25000000  0.59151433  1
  Zr  Zr3  1  0.40848567  0.09151433  0.75000000  1
  Zr  Zr4  1  0.75000000  0.40848567  0.09151433  1
  Zr  Zr5  1  0.09151433  0.75000000  0.40848567  1
  O  O6  1  -0.00000000  -0.00000000  0.00000000  1
  O  O7  1  0.50000000  0.50000000  0.50000000  1
"
"True","mp-561418","Zr3O","Trigonal","R32","155","16","0.0008981943750000001","-1.545261101249999","False","287.5666439399779","6.690771496809814","0.0","False","True","NM","0.0","# generated using pymatgen
data_Zr3O
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   10.89019823
_cell_length_b   10.89019819
_cell_length_c   10.89020005
_cell_angle_alpha   30.08803538
_cell_angle_beta   30.08803623
_cell_angle_gamma   30.08803397
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Zr3O
_chemical_formula_sum   'Zr12 O4'
_cell_volume   287.56664394
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zr  Zr0  1  0.50000000  0.83973998  0.16026002  1
  Zr  Zr1  1  0.16026002  0.50000000  0.83973998  1
  Zr  Zr2  1  0.41536460  0.07597381  0.75786372  1
  Zr  Zr3  1  -0.00000000  0.34210396  0.65789604  1
  Zr  Zr4  1  0.34210396  0.65789604  0.00000000  1
  Zr  Zr5  1  0.24213628  0.92402619  0.58463540  1
  Zr  Zr6  1  0.65789604  0.00000000  0.34210396  1
  Zr  Zr7  1  0.92402619  0.58463540  0.24213628  1
  Zr  Zr8  1  0.75786372  0.41536460  0.07597381  1
  Zr  Zr9  1  0.83973998  0.16026002  0.50000000  1
  Zr  Zr10  1  0.58463540  0.24213628  0.92402619  1
  Zr  Zr11  1  0.07597381  0.75786372  0.41536460  1
  O  O12  1  0.29153729  0.29153729  0.29153729  1
  O  O13  1  0.12518051  0.12518051  0.12518051  1
  O  O14  1  0.70846271  0.70846271  0.70846271  1
  O  O15  1  0.87481949  0.87481949  0.87481949  1
"
"True","mp-1215377","Zr4O","Trigonal","R-3","148","15","0.0","-1.240729299","True","286.99175263227033","6.611601408616027","0.0","False","True","NM","0.0","# generated using pymatgen
data_Zr4O
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.65295258
_cell_length_b   5.65172282
_cell_length_c   10.87632691
_cell_angle_alpha   74.93806296
_cell_angle_beta   89.98787765
_cell_angle_gamma   59.97325496
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Zr4O
_chemical_formula_sum   'Zr12 O3'
_cell_volume   286.99175263
_cell_formula_units_Z   3
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zr  Zr0  1  0.45831080  0.41392735  0.37324181  1
  Zr  Zr1  1  0.96565491  0.40798879  0.87445268  1
  Zr  Zr2  1  0.12739901  0.08562550  0.37327486  1
  Zr  Zr3  1  0.62639442  0.09131639  0.87454608  1
  Zr  Zr4  1  0.78668291  0.75428691  0.37315813  1
  Zr  Zr5  1  0.28217981  0.75196459  0.87442223  1
  Zr  Zr6  1  0.37287634  0.91387274  0.12752021  1
  Zr  Zr7  1  0.87383901  0.90816108  0.62626384  1
  Zr  Zr8  1  0.04192777  0.58557292  0.12754506  1
  Zr  Zr9  1  0.53463022  0.59147436  0.62634915  1
  Zr  Zr10  1  0.71358862  0.24519783  0.12763850  1
  Zr  Zr11  1  0.21812138  0.24744122  0.62640794  1
  O  O12  1  0.25014748  0.49971084  0.75040418  1
  O  O13  1  0.50003239  0.99976645  0.50022863  1
  O  O14  1  0.00024194  0.99969504  0.00054868  1
"
"True","mp-761151","Zr6O11","Orthorhombic","Pmm2","25","17","0.08387070720588001","-3.623043120294117","False","208.53678271832567","5.759799280375676","0.37100000000000005","False","False","NM","0.00024219999999900002","# generated using pymatgen
data_Zr6O11
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.63388200
_cell_length_b   3.63705300
_cell_length_c   15.77837300
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Zr6O11
_chemical_formula_sum   'Zr6 O11'
_cell_volume   208.53678272
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zr  Zr0  1  0.00000000  0.50000000  0.07566100  1
  Zr  Zr1  1  0.00000000  0.50000000  0.41089600  1
  Zr  Zr2  1  0.00000000  0.50000000  0.74545500  1
  Zr  Zr3  1  0.50000000  0.00000000  0.24314300  1
  Zr  Zr4  1  0.50000000  0.00000000  0.57867100  1
  Zr  Zr5  1  0.50000000  0.00000000  0.91096900  1
  O  O6  1  0.00000000  0.00000000  0.13797500  1
  O  O7  1  0.00000000  0.00000000  0.64468600  1
  O  O8  1  0.00000000  0.00000000  0.47695800  1
  O  O9  1  0.00000000  0.00000000  0.81249100  1
  O  O10  1  0.00000000  0.00000000  0.30833100  1
  O  O11  1  0.50000000  0.50000000  0.67821100  1
  O  O12  1  0.50000000  0.50000000  0.00892700  1
  O  O13  1  0.50000000  0.50000000  0.17741200  1
  O  O14  1  0.50000000  0.50000000  0.34458600  1
  O  O15  1  0.50000000  0.50000000  0.51130700  1
  O  O16  1  0.50000000  0.50000000  0.84451000  1
"
"True","mp-10197","ZrO","Cubic","Fm-3m","225","2","0.346729603749997","-2.559904767500001","False","24.73907116775216","7.197062628033025","0.0","False","True","NM","0.0023518","# generated using pymatgen
data_ZrO
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.27064039
_cell_length_b   3.27064039
_cell_length_c   3.27064039
_cell_angle_alpha   60.00000000
_cell_angle_beta   60.00000000
_cell_angle_gamma   60.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   ZrO
_chemical_formula_sum   'Zr1 O1'
_cell_volume   24.73907117
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zr  Zr0  1  0.00000000  0.00000000  0.00000000  1
  O  O1  1  0.50000000  0.50000000  0.50000000  1
"
